627535387	20170208	201702	2017	2017.1041	SAU	MEDINA	SAU								MEX	MEXICO	MEX								1	173	173	17	4	-5.0	2	1	2	-3.3939393939394	1	Mexico	MX	MX	23	-102	MX	1	Mexico	MX	MX	23	-102	MX	3	Seattle, Washington, United States	US	USWA	47.6062	-122.332	1512650	20170215	http://www.huffingtonpost.com/entry/mexican-immigrant-daca-arrested_us_58a38a58e4b03df370db776b
627535399	20170208	201702	2017	2017.1041	USA	SEATTLE	USA								MEX	MEXICO	MEX								1	173	173	17	4	-5.0	2	1	2	-3.3939393939394	3	Seattle, Washington, United States	US	USWA	47.6062	-122.332	1512650	1	Mexico	MX	MX	23	-102	MX	1	Mexico	MX	MX	23	-102	MX	20170215	http://www.huffingtonpost.com/entry/mexican-immigrant-daca-arrested_us_58a38a58e4b03df370db776b
627535579	20170215	201702	2017	2017.1233											CVL	RESIDENTS						CVL			1	051	051	05	1	3.4	5	1	5	-2.21606648199446	0							4	Vancouver, British Columbia, Canada	CA	CA02	49.25	-123.133	-575268	2	Alaska, United States	US	USAK	61.385	-152.268	AK	20170215	http://www.nasdaq.com/article/northern-dynasty-says-report-calling-it-worthless-inaccurate-20170214-01263
627535819	20170215	201702	2017	2017.1233											MIL	NAVAL						MIL			0	043	043	04	1	2.8	10	5	10	-1.89110234989666	0							4	Annapolis, Nova Scotia, Canada	CA	CA07	44.7333	-65.5167	-560208	2	Rhode Island, United States	US	USRI	41.6772	-71.5101	RI	20170215	http://www.margaretrivermail.com.au/story/4468748/ten-unanswered-questions-after-michael-flynns-resignation/
627536091	20170215	201702	2017	2017.1233											USA	OREGON	USA								1	173	173	17	4	-5.0	6	3	6	-9.2436974789916	0							2	Oregon, United States	US	USOR	44.5672	-122.127	OR	1	Mexico	MX	MX	23	-102	MX	20170215	http://kval.com/news/local/eugene-man-sentenced-in-conspiracy-to-smuggle-guns-bought-in-oregon-to-mexico
627536467	20170215	201702	2017	2017.1233	BUS	COMPANIES						BUS			USA	UNITED STATES	USA								1	010	010	01	1	0.0	2	1	2	1.9047619047619	4	Jalisco, Baja California, Mexico	MX	MX02	32.5175	-115.235	-1661292	2	California, United States	US	USCA	36.17	-119.746	CA	2	California, United States	US	USCA	36.17	-119.746	CA	20170215	http://www.usatoday.com/story/tech/news/2017/02/14/trade-screws-tighten-mexico-recruits-us-tech/97751528/
627536533	20170215	201702	2017	2017.1233	CAN	CANADA	CAN																		1	046	046	04	1	7.0	1	1	1	0.32206119162641	3	White House, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	0							1	Canada	CA	CA	60	-95	CA	20170215	http://macaudailytimes.com.mo/us-canada-trudeau-talks-trade-trump-white-house.html
627536552	20170215	201702	2017	2017.1233	CAN	CANADIAN	CAN								CANGOV	CANADA	CAN					GOV			1	040	040	04	1	1.0	6	2	6	-2.02898550724638	3	Washington, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	1	Canada	CA	CA	60	-95	CA	1	Canada	CA	CA	60	-95	CA	20170215	http://www.couriermail.com.au/business/work/white-house-press-secretary-sean-spicer-had-now-got-all-muddled-up-with-justin-trudeaus-name/news-story/f1b861c2117ebefdcb9f237b0f414b58?nk=ac8e0fd41773045cebfd2a9a82c4d6c9-1487116076
627536574	20170215	201702	2017	2017.1233	CAN	CANADA	CAN								MED	MEDIA						MED			1	040	040	04	1	1.0	3	2	3	-2.02898550724638	1	Canada	CA	CA	60	-95	CA	3	White House, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	3	White House, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	20170215	http://www.couriermail.com.au/business/work/white-house-press-secretary-sean-spicer-had-now-got-all-muddled-up-with-justin-trudeaus-name/news-story/f1b861c2117ebefdcb9f237b0f414b58?nk=ac8e0fd41773045cebfd2a9a82c4d6c9-1487116076
627536577	20170215	201702	2017	2017.1233	CAN	CANADA	CAN								MIL	NAVAL						MIL			0	043	043	04	1	2.8	10	5	10	-1.89110234989666	4	Annapolis, Nova Scotia, Canada	CA	CA07	44.7333	-65.5167	-560208	4	Annapolis, Nova Scotia, Canada	CA	CA07	44.7333	-65.5167	-560208	2	Rhode Island, United States	US	USRI	41.6772	-71.5101	RI	20170215	http://www.margaretrivermail.com.au/story/4468748/ten-unanswered-questions-after-michael-flynns-resignation/
627536578	20170215	201702	2017	2017.1233	CAN	CANADA	CAN								MIL	NAVAL						MIL			0	043	043	04	1	2.8	10	5	10	-1.89110234989666	4	Annapolis, Nova Scotia, Canada	CA	CA07	44.7333	-65.5167	-560208	2	Rhode Island, United States	US	USRI	41.6772	-71.5101	RI	2	Rhode Island, United States	US	USRI	41.6772	-71.5101	RI	20170215	http://www.margaretrivermail.com.au/story/4468748/ten-unanswered-questions-after-michael-flynns-resignation/
627536582	20170215	201702	2017	2017.1233	CAN	CANADA	CAN								NMR	NORTH AMERICA	NMR								1	036	036	03	1	4.0	2	1	2	0.32206119162641	1	Canada	CA	CA	60	-95	CA	3	Washington, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	1	Canada	CA	CA	60	-95	CA	20170215	http://macaudailytimes.com.mo/us-canada-trudeau-talks-trade-trump-white-house.html
627536584	20170215	201702	2017	2017.1233	CAN	CANADA	CAN								NMR	NORTH AMERICA	NMR								1	042	042	04	1	1.9	1	1	1	0.32206119162641	1	Canada	CA	CA	60	-95	CA	3	Washington, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	3	Washington, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	20170215	http://macaudailytimes.com.mo/us-canada-trudeau-talks-trade-trump-white-house.html
627536587	20170215	201702	2017	2017.1233	CAN	CANADA	CAN								USA	AMERICAN	USA								0	012	012	01	1	-0.4	1	1	1	1.9047619047619	1	Canada	CA	CA	60	-95	CA	3	Stanford University, California, United States	US	USCA	37.4289	-122.17	235365	3	Stanford University, California, United States	US	USCA	37.4289	-122.17	235365	20170215	http://www.usatoday.com/story/tech/news/2017/02/14/trade-screws-tighten-mexico-recruits-us-tech/97751528/
627536592	20170215	201702	2017	2017.1233	CAN	CANADIAN	CAN								USA	UNITED STATES	USA								1	040	040	04	1	1.0	172	82	168	1.78578574565488	1	Canada	CA	CA	60	-95	CA	3	White House, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	3	White House, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	20170215	http://www.fairfieldcitizenonline.com/news/politics/article/Melania-Trump-White-House-public-tours-to-resume-10931540.php
627536593	20170215	201702	2017	2017.1233	CAN	CANADA	CAN								USA	WASHINGTON	USA								1	043	043	04	1	2.8	15	3	15	-0.134690157201367	1	Canada	CA	CA	60	-95	CA	3	Washington, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	3	Washington, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	20170215	http://macaudailytimes.com.mo/us-canada-trudeau-talks-trade-trump-white-house.html
627536595	20170215	201702	2017	2017.1233	CAN	CANADA	CAN								USA	UNITED STATES	USA								1	046	046	04	1	7.0	3	2	3	0.382760085835375	3	White House, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	3	White House, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	1	Canada	CA	CA	60	-95	CA	20170215	http://macaudailytimes.com.mo/us-canada-trudeau-talks-trade-trump-white-house.html
627536596	20170215	201702	2017	2017.1233	CAN	CANADA	CAN								USA	UNITED STATES	USA								1	046	046	04	1	7.0	9	3	7	0.722463110183087	1	Canada	CA	CA	60	-95	CA	3	White House, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	1	Canada	CA	CA	60	-95	CA	20170215	http://macaudailytimes.com.mo/us-canada-trudeau-talks-trade-trump-white-house.html
627536598	20170215	201702	2017	2017.1233	CAN	CANADA	CAN								USA	UNITED STATES	USA								0	051	051	05	1	3.4	4	1	4	0.32206119162641	1	Canada	CA	CA	60	-95	CA	3	Washington, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	1	Canada	CA	CA	60	-95	CA	20170215	http://macaudailytimes.com.mo/us-canada-trudeau-talks-trade-trump-white-house.html
627536600	20170215	201702	2017	2017.1233	CAN	ALBERTA	CAN								USA	UNITED STATES	USA								0	061	061	06	2	6.4	8	1	8	0.32206119162641	3	Washington, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	3	Washington, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	1	Canada	CA	CA	60	-95	CA	20170215	http://macaudailytimes.com.mo/us-canada-trudeau-talks-trade-trump-white-house.html
627536602	20170215	201702	2017	2017.1233	CAN	CANADA	CAN								USA	VERMONT	USA								0	173	173	17	4	-5.0	42	7	42	-4.81077199827425	4	Quebec, Quebec, Canada	CA	CA10	47.5	-72	-571850	2	Vermont, United States	US	USVT	44.0407	-72.7093	VT	4	Quebec, Quebec, Canada	CA	CA10	47.5	-72	-571850	20170215	http://www.news1130.com/2017/02/14/the-tuesday-news-briefing-an-at-a-glance-survey-of-some-top-stories-25/
627536603	20170215	201702	2017	2017.1233	CAN	CANADA	CAN								USA	VERMONT	USA								1	192	192	19	4	-9.5	48	8	48	-4.96492000398447	4	Quebec, Quebec, Canada	CA	CA10	47.5	-72	-571850	2	Vermont, United States	US	USVT	44.0407	-72.7093	VT	4	Quebec, Quebec, Canada	CA	CA10	47.5	-72	-571850	20170215	http://www.news1130.com/2017/02/14/the-tuesday-news-briefing-an-at-a-glance-survey-of-some-top-stories-25/
627536610	20170215	201702	2017	2017.1233	CANGOV	CANADA	CAN					GOV			CAN	CANADIAN	CAN								1	040	040	04	1	1.0	6	2	6	-2.02898550724638	1	Canada	CA	CA	60	-95	CA	3	Washington, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	1	Canada	CA	CA	60	-95	CA	20170215	http://www.couriermail.com.au/business/work/white-house-press-secretary-sean-spicer-had-now-got-all-muddled-up-with-justin-trudeaus-name/news-story/f1b861c2117ebefdcb9f237b0f414b58?nk=ac8e0fd41773045cebfd2a9a82c4d6c9-1487116076
627536654	20170215	201702	2017	2017.1233	CHN	CHINESE	CHN								LAB	WORKER						LAB			0	042	042	04	1	1.9	1	1	1	-0.42589437819421	2	Iowa, United States	US	USIA	42.0046	-93.214	IA	4	Shenzhen, Guangdong, China	CH	CH30	22.2	111.117	-1925267	4	Shenzhen, Guangdong, China	CH	CH30	22.2	111.117	-1925267	20170215	http://www.eastasiaforum.org/2017/02/15/weighing-up-chinas-investment-in-the-united-states/
