643930869	20170307	201703	2017	2017.1836	USA	UNITED STATES	USA								MEX	MEXICAN	MEX								0	192	192	19	4	-9.5	2	2	2	-4.00754342012758	3	Washington, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	1	Mexico	MX	MX	23	-102	MX	1	Mexico	MX	MX	23	-102	MX	20170406	http://krwg.org/post/homeland-security-chief-backtracks-splitting-families
643930985	20170406	201704	2017	2017.2630											CHN	CHINA	CHN								0	042	042	04	1	1.9	24	6	24	-0.92470277410833	0							1	China	CH	CH	35	105	CH	1	United States	US	US	38	-97	US	20170406	http://www.mercedsunstar.com/news/politics-government/article142983139.html
643931365	20170406	201704	2017	2017.2630											USA	UNITED STATES	USA								1	031	031	03	1	5.2	8	4	8	-1.04760663923548	0							3	Chicago, Illinois, United States	US	USIL	41.85	-87.6501	423587	1	Mexico	MX	MX	23	-102	MX	20170406	https://www.pri.org/stories/2017-04-05/designs-trumps-border-wall-are-here-they-fall-4-categories
643931434	20170406	201704	2017	2017.2630											USA	UNITED STATES	USA								1	043	043	04	1	2.8	6	1	6	-2.94117647058824	0							3	Moosic, Pennsylvania, United States	US	USPA	41.3534	-75.7383	1199188	1	Canada	CA	CA	60	-95	CA	20170406	http://wnep.com/2017/04/05/wrong-way-driver-stopped-on-i-81-ramp/
643931447	20170406	201704	2017	2017.2630											USA	UNITED STATES	USA								0	043	043	04	1	2.8	1	1	1	2.03813280736358	0							2	Montana, United States	US	USMT	46.9048	-110.326	MT	4	Toronto, Ontario, Canada	CA	CA08	43.6667	-79.4167	-574890	20170406	http://helenair.com/entertainment/yourtime/songs-we-love-blackie-nelson-and-bob-packwood-team-up/article_8eaac0f1-3530-5eb0-92ba-f2a2877407a5.html
643931454	20170406	201704	2017	2017.2630											USA	UNITED STATES	USA								0	046	046	04	1	7.0	4	1	4	-2.42792109256449	0							3	Honolulu, Hawaii, United States	US	USHI	21.3069	-157.858	366212	1	China	CH	CH	35	105	CH	20170406	https://www.thequint.com/world/2017/04/05/ahead-of-trumps-meeting-with-xi-n-korea-fires-ballistic-missile-kim-jong-un
643931841	20170406	201704	2017	2017.2630	BUS	CARMAKER						BUS			USA	UNITED STATES	USA								0	114	114	11	3	-2.0	8	3	8	-3.54535974973931	3	White House, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	4	Beijing, Beijing, China	CH	CH22	39.9289	116.388	-1898541	3	White House, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	20170406	http://www.geelongadvertiser.com.au/business/breaking-news/business-wants-action-in-xitrump-summit/news-story/a7ff91cc931f143eeee2b81ef870a5ca?nk=7250c8ef89f1a22fd040e439110f509f-1491436118
643931871	20170406	201704	2017	2017.2630	CAN	CANADA	CAN																		1	042	042	04	1	1.9	2	1	2	-2.94117647058824	1	Canada	CA	CA	60	-95	CA	0							2	Pennsylvania, United States	US	USPA	40.5773	-77.264	PA	20170406	http://wnep.com/2017/04/05/wrong-way-driver-stopped-on-i-81-ramp/
643931890	20170406	201704	2017	2017.2630	CAN	NOVA SCOTIA	CAN																		1	111	111	11	3	-2.0	2	1	2	-4.27631578947368	1	United States	US	US	38	-97	US	0							4	Goose Bay, Newfoundland, Canada	CA	CA05	53.3333	-60.4167	-565365	20170406	http://www.thenorwester.ca/news/regional/2017/4/5/traffic-still-delayed-on-burin-peninsula-highway-after-storm.html
643931908	20170406	201704	2017	2017.2630	CAN	CANADA	CAN								CANGOV	CANADA	CAN					GOV			1	036	036	03	1	4.0	1	1	1	-2.41134751773049	3	Washington, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	4	Fort Mcmurray, Alberta, Canada	CA	CA01	56.7333	-111.383	-564818	4	Fort Mcmurray, Alberta, Canada	CA	CA01	56.7333	-111.383	-564818	20170406	http://www.citynews.ca/2017/04/05/six-stories-in-the-news-today-april-5-2/
