637258356	20170214	201702	2017	2017.1205	CHN	CHINESE	CHN								USA	UNITED STATES	USA								1	042	042	04	1	1.9	2	1	2	-0.595238095238095	1	China	CH	CH	35	105	CH	3	Washington, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	1	China	CH	CH	35	105	CH	20170316	https://timesofislamabad.com/donald-trump-pushes-indian-bid-nsg-membership/2017/03/15/
637258381	20170214	201702	2017	2017.1205	USA	UNITED STATES	USA								CHN	CHINESE	CHN								1	043	043	04	1	2.8	1	1	1	-0.595238095238095	3	Washington, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	1	China	CH	CH	35	105	CH	1	China	CH	CH	35	105	CH	20170316	https://timesofislamabad.com/donald-trump-pushes-indian-bid-nsg-membership/2017/03/15/
637258382	20170214	201702	2017	2017.1205	USA	UNITED STATES	USA								CHN	CHINESE	CHN								1	043	043	04	1	2.8	1	1	1	-0.595238095238095	2	Florida, United States	US	USFL	27.8333	-81.717	FL	1	China	CH	CH	35	105	CH	1	China	CH	CH	35	105	CH	20170316	https://timesofislamabad.com/donald-trump-pushes-indian-bid-nsg-membership/2017/03/15/
637258392	20170309	201703	2017	2017.1890											SPY	INTELLIGENCE						SPY			0	014	014	01	1	0.0	1	1	1	-3.9908779931585	0							3	San Francisco, California, United States	US	USCA	37.7749	-122.419	277593	4	Zhang Li, Shaanxi, China	CH	CH26	34.4783	108.76	9209634	20170316	http://www.sfchronicle.com/business/article/Russia-s-hack-against-Yahoo-show-need-for-11005014.php
637258516	20170316	201703	2017	2017.2082											CHN	CHINA	CHN								0	042	042	04	1	1.9	2	1	2	-2.84191829484903	0							4	Beijing, Beijing, China	CH	CH22	39.9289	116.388	-1898541	2	Florida, United States	US	USFL	27.8333	-81.717	FL	20170316	http://www.easternmirrornagaland.com/chinese-premier-cautions-us-against-trade-war/
637258645	20170316	201703	2017	2017.2082											GBR	UNITED KINGDOM	GBR								0	020	020	02	1	3.0	1	1	1	1.70212765957446	0							1	United Kingdom	UK	UK	54	-2	UK	2	Virginia, United States	US	USVA	37.768	-78.2057	VA	20170316	http://www.courthousenews.com/fishing-industry-tells-committee-regulations-go-far/
637258690	20170316	201703	2017	2017.2082											GOV	PRESIDENT						GOV			0	040	040	04	1	1.0	2	2	2	-0.739846352759285	0							3	White House, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	1	Canada	CA	CA	60	-95	CA	20170316	http://news-sentinel.com/news/us-and-world/Trump-announces-challenge-to-Obama-era-fuel-standards
637258691	20170316	201703	2017	2017.2082											GOV	PRESIDENT						GOV			0	040	040	04	1	1.0	1	1	1	-0.64575645756457	0							3	White House, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	1	Mexico	MX	MX	23	-102	MX	20170316	http://hosted.ap.org/dynamic/stories/U/US_TRUMP?SITE=AP&SECTION=HOME&TEMPLATE=DEFAULT&CTIME=2017-03-15-18-18-52
637259123	20170316	201703	2017	2017.2082											USA	TEXAS	USA								0	130	130	13	3	-4.4	24	1	24	-2.78725098255742	0							2	Texas, United States	US	USTX	31.106	-97.6475	TX	4	Abbotsford, British Columbia, Canada	CA	CA02	49.05	-122.3	-559845	20170316	http://www.castanet.net/edition/news-story-191762-3-.htm
637259482	20170316	201703	2017	2017.2082	BUS	COMPANIES						BUS			CHN	CHINA	CHN								1	012	012	01	1	-0.4	18	3	18	-7.60380597904199	1	United States	US	US	38	-97	US	1	China	CH	CH	35	105	CH	1	United States	US	US	38	-97	US	20170316	http://www.cnbc.com/2017/03/15/cfos-worldwide-are-concerned-trumps-policies-will-lead-to-a-trade-war-with-china.html
637259585	20170316	201703	2017	2017.2082	CAN	CANADA	CAN								BUS	COMPANIES						BUS			1	010	010	01	1	0.0	12	6	12	-5.14382615714456	1	Canada	CA	CA	60	-95	CA	2	Rhode Island, United States	US	USRI	41.6772	-71.5101	RI	2	Rhode Island, United States	US	USRI	41.6772	-71.5101	RI	20170316	http://wkzo.com/news/articles/2017/mar/15/ex-oppenheimer-adviser-gets-six-months-in-us-insider-trading-case/
637259648	20170316	201703	2017	2017.2082	CAN	CANADA	CAN								USA	UNITED STATES	USA								1	186	186	18	4	-10.0	11	11	11	-4.95034684984811	1	Canada	CA	CA	60	-95	CA	2	Rhode Island, United States	US	USRI	41.6772	-71.5101	RI	1	Canada	CA	CA	60	-95	CA	20170316	http://wkzo.com/news/articles/2017/mar/15/ex-oppenheimer-adviser-gets-six-months-in-us-insider-trading-case/
637259649	20170316	201703	2017	2017.2082	CAN	CANADA	CAN								USA	UNITED STATES	USA								1	186	186	18	4	-10.0	22	11	22	-4.95034684984811	1	Canada	CA	CA	60	-95	CA	2	Rhode Island, United States	US	USRI	41.6772	-71.5101	RI	2	Rhode Island, United States	US	USRI	41.6772	-71.5101	RI	20170316	http://wkzo.com/news/articles/2017/mar/15/ex-oppenheimer-adviser-gets-six-months-in-us-insider-trading-case/
637259651	20170316	201703	2017	2017.2082	CAN	CANADA	CAN								USAGOV	UNITED STATES	USA					GOV			0	010	010	01	1	0.0	2	1	2	-4.21348314606741	1	Canada	CA	CA	60	-95	CA	2	California, United States	US	USCA	36.17	-119.746	CA	1	Canada	CA	CA	60	-95	CA	20170316	http://www.citybeat.com/voices/on-second-thought/article/20854998/trouble-brewing-for-the-epa
637259690	20170316	201703	2017	2017.2082	CHN	CHINA	CHN																		0	043	043	04	1	2.8	2	1	2	-2.84191829484903	4	Beijing, Beijing, China	CH	CH22	39.9289	116.388	-1898541	0							2	Florida, United States	US	USFL	27.8333	-81.717	FL	20170316	http://www.easternmirrornagaland.com/chinese-premier-cautions-us-against-trade-war/
637259717	20170316	201703	2017	2017.2082	CHN	CHINA	CHN								EDU	INTELLECTUAL						EDU			0	030	030	03	1	4.0	8	1	8	-3.9908779931585	4	Zhang Li, Shaanxi, China	CH	CH26	34.4783	108.76	9209634	3	San Francisco, California, United States	US	USCA	37.7749	-122.419	277593	3	San Francisco, California, United States	US	USCA	37.7749	-122.419	277593	20170316	http://www.sfchronicle.com/business/article/Russia-s-hack-against-Yahoo-show-need-for-11005014.php
637259755	20170316	201703	2017	2017.2082	CHN	CHINA	CHN								USA	UNITED STATES	USA								0	030	030	03	1	4.0	2	1	2	2.20440881763527	4	Beijing, Beijing, China	CH	CH22	39.9289	116.388	-1898541	3	Washington, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	4	Beijing, Beijing, China	CH	CH22	39.9289	116.388	-1898541	20170316	http://www.chinadaily.com.cn/opinion/2017-03/16/content_28573811.htm
637259756	20170316	201703	2017	2017.2082	CHN	BEIJING	CHN								USA	WASHINGTON	USA								1	043	043	04	1	2.8	14	3	14	-1.76792591729797	4	Beijing, Beijing, China	CH	CH22	39.9289	116.388	-1898541	3	Washington, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	4	Beijing, Beijing, China	CH	CH22	39.9289	116.388	-1898541	20170316	http://www.dailymail.co.uk/wires/reuters/article-4315854/China-buy-1-7-bln-worth-Philippine-agricultural-produce.html
637259761	20170316	201703	2017	2017.2082	CHN	CHINA	CHN								USA	SAN FRANCISCO	USA								0	070	070	07	2	7.0	25	3	25	-1.71858138866173	1	China	CH	CH	35	105	CH	3	San Francisco, California, United States	US	USCA	37.7749	-122.419	277593	3	San Francisco, California, United States	US	USCA	37.7749	-122.419	277593	20170316	http://reviewtimes.com/business-news/2017/03/15/trump-fuel-economy-move-sets-up-fight-with-california/
637259762	20170316	201703	2017	2017.2082	CHN	CHINA	CHN								USA	UNITED STATES	USA								0	070	070	07	2	7.0	7	3	7	-1.71858138866173	1	China	CH	CH	35	105	CH	3	San Francisco, California, United States	US	USCA	37.7749	-122.419	277593	3	Washington, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	20170316	http://reviewtimes.com/business-news/2017/03/15/trump-fuel-economy-move-sets-up-fight-with-california/
