633849979	20170306	201703	2017	2017.1808											JEW010LEG	CONSERVATIVE JUDAISM				JEW		LEG			1	046	046	04	1	7.0	10	1	10	2.78481012658228	0							1	United States	US	US	38	-97	US	1	United States	US	US	38	-97	US	20170306	http://www.stljewishlight.com/news/world/article_278b916f-1ecf-582a-82a0-0d8819af7a0c.html
633850182	20170306	201703	2017	2017.1808											bre	BRETON			bre						1	042	042	04	1	1.9	10	1	10	1.5625	0							1	United States	US	US	38	-97	US	1	United States	US	US	38	-97	US	20170306	http://www.capebretonpost.com/opinion/columnists/2017/3/5/lillian-crewe-walshs-work-lives-on.html
633850519	20170306	201703	2017	2017.1808	CHR	CHRISTIAN				CHR					JEW	JEWISH				JEW					0	040	040	04	1	1.0	4	1	4	-2.06611570247934	2	New York, United States	US	USNY	42.1497	-74.9384	NY	2	New York, United States	US	USNY	42.1497	-74.9384	NY	2	New York, United States	US	USNY	42.1497	-74.9384	NY	20170306	http://www.stljewishlight.com/news/world/article_a8a9f5c2-cbb9-5894-bc70-b0b8195b58d8.html
633850520	20170306	201703	2017	2017.1808	CHR	CHRISTIAN				CHR					USA	UNITED STATES	USA								0	042	042	04	1	1.9	2	1	2	0.684345594525239	3	Washington, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	3	Washington, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	3	Washington, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	20170306	http://www.wnd.com/2017/03/new-era-of-news-delivery-for-wnd/
633851102	20170306	201703	2017	2017.1808	GOV	GOVERNMENT						GOV			MOS	MUSLIM				MOS					0	020	020	02	1	3.0	300	75	300	-3.5452020647932	3	Orange County, California, United States	US	USCA	33.7	-117.768	277294	1	Afghanistan	AF	AF	33	65	AF	3	Orange County, California, United States	US	USCA	33.7	-117.768	277294	20170306	http://www.moultonadvertiser.com/news/national/article_b8e4efa6-24ff-5e27-b68d-d5062a920ea6.html
633851452	20170306	201703	2017	2017.1808	JEW	RABBI				JEW															0	051	051	05	1	3.4	1	1	1	-0.18518518518518	3	Manhattan Park, New York, United States	US	USNY	41.2382	-73.7774	2059986	0							3	Manhattan Park, New York, United States	US	USNY	41.2382	-73.7774	2059986	20170306	https://www.wsj.com/articles/in-israel-cuomo-offers-reassurances-amid-anti-semitic-acts-in-u-s-1488756555
633851454	20170306	201703	2017	2017.1808	JEW	RABBI				JEW					USA	UNITED STATES	USA								0	051	051	05	1	3.4	2	1	2	-0.18518518518518	3	Manhattan Park, New York, United States	US	USNY	41.2382	-73.7774	2059986	3	Manhattan Park, New York, United States	US	USNY	41.2382	-73.7774	2059986	3	Manhattan Park, New York, United States	US	USNY	41.2382	-73.7774	2059986	20170306	https://www.wsj.com/articles/in-israel-cuomo-offers-reassurances-amid-anti-semitic-acts-in-u-s-1488756555
633851455	20170306	201703	2017	2017.1808	JEW	RABBI				JEW					USA	UNITED STATES	USA								0	051	051	05	1	3.4	2	1	2	-0.18518518518518	3	Manhattan Park, New York, United States	US	USNY	41.2382	-73.7774	2059986	2	New York, United States	US	USNY	42.1497	-74.9384	NY	2	New York, United States	US	USNY	42.1497	-74.9384	NY	20170306	https://www.wsj.com/articles/in-israel-cuomo-offers-reassurances-amid-anti-semitic-acts-in-u-s-1488756555
633851456	20170306	201703	2017	2017.1808	JEW	RABBI				JEW					USA	UNITED STATES	USA								0	051	051	05	1	3.4	2	1	2	-0.18518518518518	1	Canada	CA	CA	60	-95	CA	2	New York, United States	US	USNY	42.1497	-74.9384	NY	2	New York, United States	US	USNY	42.1497	-74.9384	NY	20170306	https://www.wsj.com/articles/in-israel-cuomo-offers-reassurances-amid-anti-semitic-acts-in-u-s-1488756555
633851457	20170306	201703	2017	2017.1808	JEW010LEG	CONSERVATIVE JUDAISM				JEW		LEG													1	046	046	04	1	7.0	70	4	70	3.15613883026043	1	United States	US	US	38	-97	US	0							1	United States	US	US	38	-97	US	20170306	http://www.stljewishlight.com/news/world/article_278b916f-1ecf-582a-82a0-0d8819af7a0c.html
