625209600	20170208	201702	2017	2017.1041	EDU	UNIVERSITY						EDU			NGOCHR	HABITAT FOR HUMANITY				CHR		NGO			0	051	051	05	1	3.4	2000	1	2000	0.81882174915595	2	South Carolina, United States	US	USSC	33.8191	-80.9066	SC	2	South Carolina, United States	US	USSC	33.8191	-80.9066	SC	2	South Carolina, United States	US	USSC	33.8191	-80.9066	SC	20170208	http://gwdtoday.com/main.asp?SectionID=2&SubSectionID=27&TM=67542.54
625209764	20170208	201702	2017	2017.1041	FRAMTQ	MARTINIQUE	FRA								MOSRAC130	NATION OF ISLAM				MOS					1	020	020	02	1	3.0	4	1	4	-3.49344978165939	1	Martinique	MB	MB	14.6667	-61	MB	2	Minnesota, United States	US	USMN	45.7326	-93.9196	MN	2	Minnesota, United States	US	USMN	45.7326	-93.9196	MN	20170208	http://freebeacon.com/politics/classmate-keith-ellison-said-jews-want-to-oppress-minorities-all-over-the-world/
625210276	20170208	201702	2017	2017.1041	GOV	PRESIDENT						GOV			nai	NATIVE AMERICAN			nai						1	010	010	01	1	0.0	146	61	146	-1.10815609611139	2	North Dakota, United States	US	USND	47.5362	-99.793	ND	3	Dallas, Texas, United States	US	USTX	32.7831	-96.8067	1380944	2	North Dakota, United States	US	USND	47.5362	-99.793	ND	20170208	http://www.winonadailynews.com/business/the-latest-leader-says-tribe-undaunted-by-pipeline-notice/article_4628c266-241e-5fc1-ad1d-26f0035008ef.html
625210277	20170208	201702	2017	2017.1041	GOV	ADMINISTRATION						GOV			nai	NATIVE AMERICAN			nai						0	010	010	01	1	0.0	104	94	104	-2.45590367558374	2	North Dakota, United States	US	USND	47.5362	-99.793	ND	2	North Dakota, United States	US	USND	47.5362	-99.793	ND	2	North Dakota, United States	US	USND	47.5362	-99.793	ND	20170208	http://hosted.ap.org/dynamic/stories/U/US_OIL_PIPELINE?SITE=AP&SECTION=HOME&TEMPLATE=DEFAULT&CTIME=2017-02-07-18-42-30
625210335	20170208	201702	2017	2017.1041	HINAST700	YOGA				HIN															1	080	080	08	2	5.0	10	1	10	1.84275184275184	1	United States	US	US	38	-97	US	0							1	United States	US	US	38	-97	US	20170208	http://www.yogajournal.com/article/health/natural-elements-yoga/
625210623	20170208	201702	2017	2017.1041	JEW	JEWISH				JEW															1	010	010	01	1	0.0	3	1	3	-3.49344978165939	2	Minnesota, United States	US	USMN	45.7326	-93.9196	MN	0							2	Minnesota, United States	US	USMN	45.7326	-93.9196	MN	20170208	http://freebeacon.com/politics/classmate-keith-ellison-said-jews-want-to-oppress-minorities-all-over-the-world/
625210625	20170208	201702	2017	2017.1041	JEW	JEWISH				JEW					BUS	TRADER						BUS			1	042	042	04	1	1.9	3	1	3	-3.49344978165939	2	Minnesota, United States	US	USMN	45.7326	-93.9196	MN	2	Minnesota, United States	US	USMN	45.7326	-93.9196	MN	2	Minnesota, United States	US	USMN	45.7326	-93.9196	MN	20170208	http://freebeacon.com/politics/classmate-keith-ellison-said-jews-want-to-oppress-minorities-all-over-the-world/
625210631	20170208	201702	2017	2017.1041	JEW	JEWISH				JEW					ISR	ISRAELI	ISR								0	130	130	13	3	-4.4	1	1	1	-3.96825396825397	1	West Bank	WE	WE	31.6667	35.25	WE	1	Israel	IS	IS	31.5	34.75	IS	3	White House, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	20170208	https://www.rt.com/news/376629-palestine-settlement-law-israel/
625210636	20170208	201702	2017	2017.1041	JEWUDX	ULTRA ORTHODOX				JEW	UDX														1	192	192	19	4	-9.5	10	1	10	-0.76804915514593	3	White House, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	0							3	White House, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	20170208	http://mwcnews.net/focus/analysis/63635-ways-of-living-with-alternative-facts.html
625210925	20170208	201702	2017	2017.1041	JUDJUD	DISTRICT COURT						JUD	JUD		dak	SIOUX			dak						1	120	120	12	3	-4.0	1030	93	1030	-3.63625757263141	2	North Dakota, United States	US	USND	47.5362	-99.793	ND	2	North Dakota, United States	US	USND	47.5362	-99.793	ND	2	North Dakota, United States	US	USND	47.5362	-99.793	ND	20170208	http://www.krgv.com/story/34448830/a-timeline-of-the-dakota-access-oil-pipeline
