621127538	20170127	201701	2017	2017.0740											CHRCTH	CATHOLIC				CHR	CTH				0	036	036	03	1	4.0	10	1	10	-2.31958762886598	0							1	United States	US	US	38	-97	US	1	United States	US	US	38	-97	US	20170127	http://gazette.com/why-this-catholic-will-not-join-the-march-for-life/article/1595253
621127835	20170127	201701	2017	2017.0740											MOS	MUSLIM				MOS					1	042	042	04	1	1.9	2	1	2	-0.90556274256145	0							3	Chicago, Illinois, United States	US	USIL	41.85	-87.6501	423587	3	Chicago, Illinois, United States	US	USIL	41.85	-87.6501	423587	20170127	http://thearabdailynews.com/2017/01/26/agencies-battle-racism-islamphobia/
621127837	20170127	201701	2017	2017.0740											MOSSHI	SHIA				MOS	SHI				1	084	084	08	2	7.0	29	5	29	-5.38175156937707	0							2	New York, United States	US	USNY	42.1497	-74.9384	NY	2	New York, United States	US	USNY	42.1497	-74.9384	NY	20170127	http://foxfm.com/daily-scoop/entertainment-news/2017/01/shia-labeouf-arrested/
621127838	20170127	201701	2017	2017.0740											MOSSHI	SHIA				MOS	SHI				1	173	173	17	4	-5.0	34	7	34	-5.1338214251903	0							2	New York, United States	US	USNY	42.1497	-74.9384	NY	2	New York, United States	US	USNY	42.1497	-74.9384	NY	20170127	http://foxfm.com/daily-scoop/entertainment-news/2017/01/shia-labeouf-arrested/
621127839	20170127	201701	2017	2017.0740											MOSSHI	SHIA				MOS	SHI				1	180	180	18	4	-9.0	40	8	40	-6.12899850894628	0							2	New York, United States	US	USNY	42.1497	-74.9384	NY	2	New York, United States	US	USNY	42.1497	-74.9384	NY	20170127	http://foxfm.com/daily-scoop/entertainment-news/2017/01/shia-labeouf-arrested/
621128700	20170127	201701	2017	2017.0740	CHRCTH	CATHOLIC				CHR	CTH														0	036	036	03	1	4.0	10	1	10	-2.31958762886598	1	United States	US	US	38	-97	US	0							1	United States	US	US	38	-97	US	20170127	http://gazette.com/why-this-catholic-will-not-join-the-march-for-life/article/1595253
621128702	20170127	201701	2017	2017.0740	CHRCTH	CATHOLIC BISHOP				CHR	CTH														0	111	111	11	3	-2.0	183	55	183	-3.41081645777433	3	Newark, New Jersey, United States	US	USNJ	40.7357	-74.1724	878762	0							3	Newark, New Jersey, United States	US	USNJ	40.7357	-74.1724	878762	20170127	http://www.kcbd.com/story/34356969/muslims-latinos-unify-over-trumps-immigration-border-plan
621128703	20170127	201701	2017	2017.0740	CHRCTH	CATHOLIC BISHOP				CHR	CTH														0	111	111	11	3	-2.0	16	8	16	-3.73878753723538	2	Michigan, United States	US	USMI	43.3504	-84.5603	MI	0							2	Michigan, United States	US	USMI	43.3504	-84.5603	MI	20170127	http://www.kcbd.com/story/34356969/muslims-latinos-unify-over-trumps-immigration-border-plan
621128704	20170127	201701	2017	2017.0740	CHRCTH	CATHOLIC BISHOP				CHR	CTH														0	111	111	11	3	-2.0	279	36	279	-3.35255218320635	2	New York, United States	US	USNY	42.1497	-74.9384	NY	0							2	New York, United States	US	USNY	42.1497	-74.9384	NY	20170127	http://www.mynews13.com/content/news/cfnews13/news/article.html/content/news/articles/ap/2017/01/26/Muslims_Latinos_unify_over_Trump_s_immigration_border_plan.html
621128705	20170127	201701	2017	2017.0740	CHRPRO210	LUTHERAN				CHR	PRO				USA	UNITED STATES	USA								1	173	173	17	4	-5.0	3	3	3	2.63157894736843	1	Norway	NO	NO	62	10	NO	1	Norway	NO	NO	62	10	NO	3	Bemidji, Minnesota, United States	US	USMN	47.4736	-94.8803	655325	20170127	http://www.brainerddispatch.com/obituaries/4206537-charles-chuck-austad
