629924276	20170123	201701	2017	2017.0630	JEW	JEWISH				JEW					USA	UNITED STATES	USA								0	111	111	11	3	-2.0	142	26	142	-6.08119272845827	3	White House, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	3	White House, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	3	White House, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	20170222	http://www.hutchnews.com/lifestyle/religion/trump-denounces-horrible-threats-against-jewish-centers/article_d7bab8ed-42b5-5a9a-bd18-9c8b7184feaf.html
629924277	20170123	201701	2017	2017.0630	JEW	JEWISH				JEW					USAGOV	THE WHITE HOUSE	USA					GOV			0	111	111	11	3	-2.0	108	27	108	-6.05624924242824	3	White House, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	3	White House, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	3	White House, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	20170222	http://www.hutchnews.com/lifestyle/religion/trump-denounces-horrible-threats-against-jewish-centers/article_d7bab8ed-42b5-5a9a-bd18-9c8b7184feaf.html
629924280	20170123	201701	2017	2017.0630	USA	UNITED STATES	USA								JEW	JEWISH				JEW					0	010	010	01	1	0.0	66	16	66	-6.5652408480875	3	White House, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	3	White House, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	3	White House, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	20170222	http://www.hutchnews.com/lifestyle/religion/trump-denounces-horrible-threats-against-jewish-centers/article_d7bab8ed-42b5-5a9a-bd18-9c8b7184feaf.html
629924282	20170123	201701	2017	2017.0630	USAGOV	THE WHITE HOUSE	USA					GOV			JEW	JEWISH				JEW					0	010	010	01	1	0.0	94	16	94	-6.5652408480875	3	White House, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	3	White House, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	3	White House, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	20170222	http://www.hutchnews.com/lifestyle/religion/trump-denounces-horrible-threats-against-jewish-centers/article_d7bab8ed-42b5-5a9a-bd18-9c8b7184feaf.html
629924317	20170215	201702	2017	2017.1233	USA	AMERICAN	USA								JEW	JEWISH				JEW					0	012	012	01	1	-0.4	94	47	94	-5.22468796942789	3	White House, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	3	White House, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	3	White House, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	20170222	http://gantdaily.com/2017/02/21/anne-frank-center-anti-semitism-has-infected-trump-administration/
629924393	20170222	201702	2017	2017.1425											AUSMOS	VICTORIA	AUS			MOS					1	190	190	19	4	-10.0	2	1	2	-1.35135135135136	0							3	Fredericksburg, Texas, United States	US	USTX	30.2752	-98.872	1336174	3	Fredericksburg, Texas, United States	US	USTX	30.2752	-98.872	1336174	20170222	http://setexasrecord.com/stories/511083035-aclu-of-texas-educates-against-anti-muslim-sentiments
629924394	20170222	201702	2017	2017.1425											AUSMOS	VICTORIA	AUS			MOS					1	190	190	19	4	-10.0	2	1	2	-1.35135135135136	0							3	San Antonio, Texas, United States	US	USTX	29.4241	-98.4936	1380951	3	Fredericksburg, Texas, United States	US	USTX	30.2752	-98.872	1336174	20170222	http://setexasrecord.com/stories/511083035-aclu-of-texas-educates-against-anti-muslim-sentiments
629924395	20170222	201702	2017	2017.1425											AUSMOS	VICTORIA	AUS			MOS					1	190	190	19	4	-10.0	6	1	6	-1.35135135135136	0							2	Texas, United States	US	USTX	31.106	-97.6475	TX	2	Texas, United States	US	USTX	31.106	-97.6475	TX	20170222	http://setexasrecord.com/stories/511083035-aclu-of-texas-educates-against-anti-muslim-sentiments
629924685	20170222	201702	2017	2017.1425											JEW	JEWISH				JEW					1	112	112	11	3	-2.0	28	3	28	-6.14753895991673	0							2	Kansas, United States	US	USKS	38.5111	-96.8005	KS	2	Kansas, United States	US	USKS	38.5111	-96.8005	KS	20170222	http://wnyt.com/news/dozens-of-headstones-toppled-at-missouri-jewish-cemetery/4405455/
629924686	20170222	201702	2017	2017.1425											JEWCVL	JEWISH				JEW		CVL			1	041	041	04	1	1.0	3	1	3	-11.0320284697509	0							3	White House, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	3	White House, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	20170222	http://www.sfgate.com/nation/article/Trump-denounces-horrible-threats-against-10949117.php
