634206780	20160307	201603	2016	2016.1836	CAN	CANADA	CAN								MOS	MUSLIM				MOS					0	020	020	02	1	3.0	16	7	16	-0.790110873087204	4	Toronto, Ontario, Canada	CA	CA08	43.6667	-79.4167	-574890	3	Arlington Cemetery, Washington, United States	US	USWA	48.1795	-122.143	1514083	3	Arlington Cemetery, Washington, United States	US	USWA	48.1795	-122.143	1514083	20170307	http://www.b985.com/news/national-govt--politics/gold-star-father-khizr-khan-cancels-trip-canada-says-travel-privileges-under-review/zYdd1iUwnkwIXLuizK2PQK/
634206781	20160307	201603	2016	2016.1836	CAN	CANADA	CAN								MOS	MUSLIM				MOS					0	020	020	02	1	3.0	1	1	1	-0.57581573896353	3	Arlington Cemetery, Washington, United States	US	USWA	48.1795	-122.143	1514083	3	Arlington Cemetery, Washington, United States	US	USWA	48.1795	-122.143	1514083	3	Arlington Cemetery, Washington, United States	US	USWA	48.1795	-122.143	1514083	20170307	http://www.dayton.com/news/national-govt--politics/gold-star-father-khizr-khan-cancels-trip-canada-says-travel-privileges-under-review/zYdd1iUwnkwIXLuizK2PQK/
634206782	20160307	201603	2016	2016.1836	CAN	CANADA	CAN								MOS	MUSLIM				MOS					0	020	020	02	1	3.0	15	8	15	-0.661163131131362	1	Iraq	IZ	IZ	33	44	IZ	3	Arlington Cemetery, Washington, United States	US	USWA	48.1795	-122.143	1514083	3	Arlington Cemetery, Washington, United States	US	USWA	48.1795	-122.143	1514083	20170307	http://www.b985.com/news/national-govt--politics/gold-star-father-khizr-khan-cancels-trip-canada-says-travel-privileges-under-review/zYdd1iUwnkwIXLuizK2PQK/
634206783	20160307	201603	2016	2016.1836	CAN	CANADA	CAN								MOS	MUSLIM				MOS					0	172	172	17	4	-5.0	36	9	36	-0.770750167449001	4	Toronto, Ontario, Canada	CA	CA08	43.6667	-79.4167	-574890	3	Arlington Cemetery, Washington, United States	US	USWA	48.1795	-122.143	1514083	3	Arlington Cemetery, Washington, United States	US	USWA	48.1795	-122.143	1514083	20170307	http://www.b985.com/news/national-govt--politics/gold-star-father-khizr-khan-cancels-trip-canada-says-travel-privileges-under-review/zYdd1iUwnkwIXLuizK2PQK/
634206815	20160307	201603	2016	2016.1836	PAK	PAKISTAN	PAK								MOS	MUSLIM				MOS					0	020	020	02	1	3.0	24	8	24	-0.661163131131362	1	Iraq	IZ	IZ	33	44	IZ	3	Arlington Cemetery, Washington, United States	US	USWA	48.1795	-122.143	1514083	3	Arlington Cemetery, Washington, United States	US	USWA	48.1795	-122.143	1514083	20170307	http://www.b985.com/news/national-govt--politics/gold-star-father-khizr-khan-cancels-trip-canada-says-travel-privileges-under-review/zYdd1iUwnkwIXLuizK2PQK/
634206816	20160307	201603	2016	2016.1836	PAK	PAKISTAN	PAK								MOS	MUSLIM				MOS					0	172	172	17	4	-5.0	24	9	24	-1.10875063389586	4	Humayun Khan, Sindh, Pakistan	PK	PK05	27.3946	68.6822	60922	4	Humayun Khan, Sindh, Pakistan	PK	PK05	27.3946	68.6822	60922	3	Arlington Cemetery, Washington, United States	US	USWA	48.1795	-122.143	1514083	20170307	http://www.b985.com/news/national-govt--politics/gold-star-father-khizr-khan-cancels-trip-canada-says-travel-privileges-under-review/zYdd1iUwnkwIXLuizK2PQK/
634207211	20170307	201703	2017	2017.1836											JEW	RABBI				JEW					0	190	190	19	4	-10.0	3	1	3	-7.28155339805826	0							3	Washington, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	3	Washington, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	20170307	http://www.middleeasteye.net/news/rights-groups-slam-trumps-revised-travel-ban-758488256
634207212	20170307	201703	2017	2017.1836											JEW	RABBI				JEW					0	190	190	19	4	-10.0	8	1	8	-6.8259385665529	0							2	New York, United States	US	USNY	42.1497	-74.9384	NY	2	New York, United States	US	USNY	42.1497	-74.9384	NY	20170307	http://www.aljazeera.com/news/2017/03/donald-trump-travel-ban-condemned-170306224950608.html
634207286	20170307	201703	2017	2017.1836											MOS	MUSLIM				MOS					0	020	020	02	1	3.0	228	34	228	-5.35873205791087	0							3	White House, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	3	White House, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	20170307	http://www.mcclatchydc.com/news/politics-government/national-politics/article136683173.html
634207287	20170307	201703	2017	2017.1836											MOS	MUSLIM				MOS					0	020	020	02	1	3.0	6	1	6	-3.06513409961686	0							2	Wisconsin, United States	US	USWI	44.2563	-89.6385	WI	2	Wisconsin, United States	US	USWI	44.2563	-89.6385	WI	20170307	http://www.pbs.org/newshour/rundown/listen-live-sean-spicer-expected-address-new-travel-ban/
