636514170	20170314	201703	2017	2017.2027											CHRCTH	CATHOLIC				CHR	CTH				0	051	051	05	1	3.4	3	1	3	1.86567164179104	0							3	Capitol Hill, District of Columbia, United States	US	USDC	38.889	-77.0003	529313	3	Capitol Hill, District of Columbia, United States	US	USDC	38.889	-77.0003	529313	20170314	http://www.americamagazine.org/faith/2017/03/13/dorothy-day-thomas-merton-mlk-and-pope-francis-models-good-citizenship
636514171	20170314	201703	2017	2017.2027											CHRCTH	CATHOLIC				CHR	CTH				0	051	051	05	1	3.4	1	1	1	1.86567164179104	0							3	Washington, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	3	Washington, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	20170314	http://www.americamagazine.org/faith/2017/03/13/dorothy-day-thomas-merton-mlk-and-pope-francis-models-good-citizenship
636514172	20170314	201703	2017	2017.2027											CHRPRO320	REFORMED CHURCH				CHR	PRO				1	046	046	04	1	7.0	6	1	6	-1.49051490514905	0							3	Houston, Texas, United States	US	USTX	29.7633	-95.3633	1380948	3	Houston, Texas, United States	US	USTX	29.7633	-95.3633	1380948	20170314	http://www.inquisitr.com/4058197/canadian-disaster-relief-volunteers-denied-entry-at-border-for-stealing-jobs/
636514271	20170314	201703	2017	2017.2027											GBRSHN	ST HELENA	GBR			SHN					1	042	042	04	1	1.9	10	1	10	0.93457943925234	0							2	Alabama, United States	US	USAL	32.799	-86.8073	AL	2	Alabama, United States	US	USAL	32.799	-86.8073	AL	20170314	http://napavalleyregister.com/star/news/local/st-helena-hospital-s-wesley-gates-has-been-rn-for/article_db2360d6-6205-5465-848e-e996ef38d811.html
636515208	20170314	201703	2017	2017.2027	CHRCTH	CATHOLIC				CHR	CTH														1	020	020	02	1	3.0	2	1	2	-0.42918454935623	4	Bristol, Bristol, City of, United Kingdom	UK	UKB7	51.45	-2.58333	-2590919	0							1	United States	US	US	38	-97	US	20170314	http://www.theartsdesk.com/theatre/dark-night-dalston-park-theatre
636515209	20170314	201703	2017	2017.2027	CHRCTH	CATHOLIC				CHR	CTH														1	020	020	02	1	3.0	16	3	11	-0.162682161140193	1	United States	US	US	38	-97	US	0							1	United States	US	US	38	-97	US	20170314	http://www.theartsdesk.com/theatre/dark-night-dalston-park-theatre
636515211	20170314	201703	2017	2017.2027	CHRCTHREL	ROMAN CATHOLIC				CHR	CTH				USA	PENNSYLVANIA	USA								1	015	015	01	1	0.0	2	1	2	-12.1794871794872	2	New Jersey, United States	US	USNJ	40.314	-74.5089	NJ	2	Pennsylvania, United States	US	USPA	40.5773	-77.264	PA	2	New Jersey, United States	US	USNJ	40.314	-74.5089	NJ	20170314	http://nj1015.com/new-jersey-priest-pleads-guilty-to-child-porn-charge/
636515212	20170314	201703	2017	2017.2027	CHRPRO210	LUTHERAN				CHR	PRO														1	141	141	14	3	-6.5	1	1	1	0	2	Nebraska, United States	US	USNE	41.1289	-98.2883	NE	0							2	Nebraska, United States	US	USNE	41.1289	-98.2883	NE	20170314	http://www.starherald.com/obits/norma-jean-sinner-borland/article_2e08f4fc-2348-5f3e-a907-28b3846f27bb.html
636515213	20170314	201703	2017	2017.2027	CHRPRO210	LUTHERAN				CHR	PRO				USA	NEBRASKA	USA								1	141	141	14	3	-6.5	9	1	9	-0.251889168765745	2	Nebraska, United States	US	USNE	41.1289	-98.2883	NE	2	Nebraska, United States	US	USNE	41.1289	-98.2883	NE	2	Nebraska, United States	US	USNE	41.1289	-98.2883	NE	20170314	http://www.starherald.com/obits/norma-jean-sinner-borland/article_2e08f4fc-2348-5f3e-a907-28b3846f27bb.html
636515448	20170314	201703	2017	2017.2027	CVL	HUNTER						CVL			NGOJEW	SIMON WIESENTHAL CENTER				JEW		NGO			0	051	051	05	1	3.4	83	25	83	-5.84945107760134	2	Minnesota, United States	US	USMN	45.7326	-93.9196	MN	2	Minnesota, United States	US	USMN	45.7326	-93.9196	MN	2	Minnesota, United States	US	USMN	45.7326	-93.9196	MN	20170314	http://wtop.com/europe/2017/03/poland-confirms-minnesota-man-as-nazi-commander/
636516020	20170314	201703	2017	2017.2027	GBRSHN	ST HELENA	GBR			SHN															1	043	043	04	1	2.8	10	1	10	0.93457943925234	2	Alabama, United States	US	USAL	32.799	-86.8073	AL	0							2	Alabama, United States	US	USAL	32.799	-86.8073	AL	20170314	http://napavalleyregister.com/star/news/local/st-helena-hospital-s-wesley-gates-has-been-rn-for/article_db2360d6-6205-5465-848e-e996ef38d811.html
636517317	20170314	201703	2017	2017.2027	MOS	IMAM				MOS															1	174	174	17	4	-5.0	6	1	6	-4.74934036939314	2	Utah, United States	US	USUT	40.1135	-111.854	UT	0							2	Utah, United States	US	USUT	40.1135	-111.854	UT	20170314	http://www.sltrib.com/news/5053326-155/kenyan-couple-agrees-to-leave-us
636517330	20170314	201703	2017	2017.2027	MOS	MUSLIM				MOS					USA	UNITED STATES	USA								1	172	172	17	4	-5.0	4	2	4	-5.00551808706316	2	California, United States	US	USCA	36.17	-119.746	CA	2	California, United States	US	USCA	36.17	-119.746	CA	2	California, United States	US	USCA	36.17	-119.746	CA	20170314	http://www.fox4news.com/news/texas/241082457-story
