626593558	20170113	201701	2017	2017.0356	JEW	JEWISH				JEW					USA	UNITED STATES	USA								0	111	111	11	3	-2.0	4	1	4	1.01465614430665	4	Migdal Oz, West Bank (general), West Bank	WE	WE00	31.65	35.1667	-795430	2	New Jersey, United States	US	USNJ	40.314	-74.5089	NJ	2	New Jersey, United States	US	USNJ	40.314	-74.5089	NJ	20170212	http://fromthetrenchesworldreport.com/kushner-foundation-bankrolls-radical-jewish-west-bank-settlers/182455
626593582	20170205	201702	2017	2017.0959	MEX	MEXICAN	MEX								nai	NATIVE AMERICAN			nai						1	130	130	13	3	-4.4	3	1	3	-1.36363636363636	4	Baja California, Chiapas, Mexico	MX	MX05	16.4167	-93.7833	6255325	1	United States	US	US	38	-97	US	1	United States	US	US	38	-97	US	20170212	http://www.heralddemocrat.com/news/20170211/austin-college-to-host-native-american-language-lecture
626593730	20170212	201702	2017	2017.1151											HINAST700	YOGA				HIN					1	036	036	03	1	4.0	10	1	10	4.29184549356223	0							3	San Francisco, California, United States	US	USCA	37.7749	-122.419	277593	3	San Francisco, California, United States	US	USCA	37.7749	-122.419	277593	20170212	https://weblogtheworld.com/browse/life-2
626594115	20170212	201702	2017	2017.1151	CHRPRO	METHODIST CHURCH				CHR	PRO				USA	UNITED STATES	USA								1	043	043	04	1	2.8	2	1	2	-3.66795366795367	3	Ferndale, Pennsylvania, United States	US	USPA	40.289	-78.9147	1174700	3	Ferndale, Pennsylvania, United States	US	USPA	40.289	-78.9147	1174700	3	Ferndale, Pennsylvania, United States	US	USPA	40.289	-78.9147	1174700	20170212	http://www.tribdem.com/news/still-a-great-neighborhood-surrounded-by-violence-moxham-residents-and/article_3569bac6-f066-11e6-a123-af287cd2cc6d.html
626594116	20170212	201702	2017	2017.1151	CHRPRO	METHODIST CHURCH				CHR	PRO				USA	UNITED STATES	USA								1	043	043	04	1	2.8	2	1	2	-3.66795366795367	3	United Methodist Church, Pennsylvania, United States	US	USPA	39.8962	-76.1602	1207446	3	Ferndale, Pennsylvania, United States	US	USPA	40.289	-78.9147	1174700	3	United Methodist Church, Pennsylvania, United States	US	USPA	39.8962	-76.1602	1207446	20170212	http://www.tribdem.com/news/still-a-great-neighborhood-surrounded-by-violence-moxham-residents-and/article_3569bac6-f066-11e6-a123-af287cd2cc6d.html
626594118	20170212	201702	2017	2017.1151	CHRPRO320	REFORMED CHURCH				CHR	PRO				USA	IOWA	USA								1	173	173	17	4	-5.0	5	1	5	-3.07017543859649	2	Iowa, United States	US	USIA	42.0046	-93.214	IA	2	Iowa, United States	US	USIA	42.0046	-93.214	IA	2	Iowa, United States	US	USIA	42.0046	-93.214	IA	20170212	http://kiwaradio.com/obits/h-junior-reuvers/
626594352	20170212	201702	2017	2017.1151	EDU	UNIVERSITY						EDU			NGOCHR	HABITAT FOR HUMANITY				CHR		NGO			0	036	036	03	1	4.0	1690	1	1690	0.50626966349706	2	South Carolina, United States	US	USSC	33.8191	-80.9066	SC	2	South Carolina, United States	US	USSC	33.8191	-80.9066	SC	2	South Carolina, United States	US	USSC	33.8191	-80.9066	SC	20170212	http://gwdtoday.com/main.asp?SectionID=2&SubSectionID=27&TM=67507.07
626594353	20170212	201702	2017	2017.1151	EDU	UNIVERSITY						EDU			NGOCHR	HABITAT FOR HUMANITY				CHR		NGO			0	051	051	05	1	3.4	1690	1	1690	0.50626966349706	2	South Carolina, United States	US	USSC	33.8191	-80.9066	SC	2	South Carolina, United States	US	USSC	33.8191	-80.9066	SC	2	South Carolina, United States	US	USSC	33.8191	-80.9066	SC	20170212	http://gwdtoday.com/main.asp?SectionID=2&SubSectionID=27&TM=67507.07
626594399	20170212	201702	2017	2017.1151	EURGOV	EUROPEAN	EUR					GOV			MOSCVL	MUSLIM				MOS		CVL			1	170	170	17	4	-7.0	3	1	3	-2.72108843537415	1	United States	US	US	38	-97	US	1	United States	US	US	38	-97	US	1	United States	US	US	38	-97	US	20170212	http://www.freerepublic.com/focus/f-news/3523919/posts
626594750	20170212	201702	2017	2017.1151	HIN	HINDU				HIN					USA	NEVADA	USA								1	051	051	05	1	3.4	30	6	30	4.71440392761188	2	Nevada, United States	US	USNV	38.4199	-117.122	NV	2	Nevada, United States	US	USNV	38.4199	-117.122	NV	2	Nevada, United States	US	USNV	38.4199	-117.122	NV	20170212	http://www.eurasiareview.com/11022017-hindu-temple-opens-in-californias-santa-clarita/
