647315672	20170417	201704	2017	2017.2932											CHRCTH	PRELATE				CHR	CTH				1	111	111	11	3	-2.0	858	84	858	1.25087654547537	0							2	New York, United States	US	USNY	42.1497	-74.9384	NY	2	New York, United States	US	USNY	42.1497	-74.9384	NY	20170417	http://www.greenwichtime.com/news/us/article/NYC-Easter-costume-spectacle-meets-elegant-11076918.php
647315673	20170417	201704	2017	2017.2932											CHRCTH	CATHOLICISM				CHR	CTH				0	112	112	11	3	-2.0	1476	152	1476	-0.38671470454882	0							2	Missouri, United States	US	USMO	38.4623	-92.302	MO	2	Missouri, United States	US	USMO	38.4623	-92.302	MO	20170417	http://www.tristateupdate.com/story/35160490/supreme-court-with-gorsuch-set-to-hear-church-state-case
647316173	20170417	201704	2017	2017.2932	CHR	CHRISTIAN				CHR															1	051	051	05	1	3.4	221	42	221	-1.32652153165292	2	New York, United States	US	USNY	42.1497	-74.9384	NY	0							2	New York, United States	US	USNY	42.1497	-74.9384	NY	20170417	http://myfox28columbus.com/news/nation-world/photos-christians-celebrate-easter-around-the-world
647316178	20170417	201704	2017	2017.2932	CHRCTH	CATHOLIC				CHR	CTH														0	112	112	11	3	-2.0	312	151	312	-0.381702354733189	2	Colorado, United States	US	USCO	39.0646	-105.327	CO	0							2	Colorado, United States	US	USCO	39.0646	-105.327	CO	20170417	http://www.tristateupdate.com/story/35160490/supreme-court-with-gorsuch-set-to-hear-church-state-case
647316179	20170417	201704	2017	2017.2932	CHRCTH	CATHOLIC				CHR	CTH														0	112	112	11	3	-2.0	1292	151	1292	-0.378310854153259	2	Missouri, United States	US	USMO	38.4623	-92.302	MO	0							2	Colorado, United States	US	USCO	39.0646	-105.327	CO	20170417	http://www.tristateupdate.com/story/35160490/supreme-court-with-gorsuch-set-to-hear-church-state-case
647316180	20170417	201704	2017	2017.2932	CHRLDS	LATTER DAY SAINTS				CHR	LDS				USA	UNITED STATES	USA								1	046	046	04	1	7.0	4	1	4	-0.25188916876574	2	Hawaii, United States	US	USHI	21.1098	-157.531	HI	2	Utah, United States	US	USUT	40.1135	-111.854	UT	2	Utah, United States	US	USUT	40.1135	-111.854	UT	20170417	http://www.eonline.com/uk/news/843834/elizabeth-smart-shares-first-photo-of-baby-no-2-on-easter-sunday
647316181	20170417	201704	2017	2017.2932	CHRLDS	LATTER DAY SAINTS				CHR	LDS				USA	UNITED STATES	USA								1	046	046	04	1	7.0	4	1	4	-0.25188916876574	2	Utah, United States	US	USUT	40.1135	-111.854	UT	2	Utah, United States	US	USUT	40.1135	-111.854	UT	2	Utah, United States	US	USUT	40.1135	-111.854	UT	20170417	http://www.eonline.com/uk/news/843834/elizabeth-smart-shares-first-photo-of-baby-no-2-on-easter-sunday
647316182	20170417	201704	2017	2017.2932	CHRLDS	LATTER DAY SAINTS				CHR	LDS				sco	SCOTTISH			sco						1	046	046	04	1	7.0	12	1	12	-0.25188916876574	2	Hawaii, United States	US	USHI	21.1098	-157.531	HI	2	Hawaii, United States	US	USHI	21.1098	-157.531	HI	2	Hawaii, United States	US	USHI	21.1098	-157.531	HI	20170417	http://www.eonline.com/uk/news/843834/elizabeth-smart-shares-first-photo-of-baby-no-2-on-easter-sunday
647316183	20170417	201704	2017	2017.2932	CHRPRO117	SEVENTH DAY ADVENTIST CHURCH				CHR	PRO				USA	UNITED STATES	USA								0	036	036	03	1	4.0	8	1	8	0.0652315720808798	3	Brooklyn, New York, United States	US	USNY	42.3442	-75.1704	944840	3	Brooklyn, New York, United States	US	USNY	42.3442	-75.1704	944840	3	Brooklyn, New York, United States	US	USNY	42.3442	-75.1704	944840	20170417	http://www.gothamgazette.com/city/6874-the-week-ahead-in-new-york-politics-april-17
647316354	20170417	201704	2017	2017.2932	CVLCHR	MINORITIES				CHR		CVL			MNCUSAMED	GOOGLE	USA					MNC	MED		0	020	020	02	1	3.0	10	1	10	-9.24608819345663	2	New York, United States	US	USNY	42.1497	-74.9384	NY	2	New York, United States	US	USNY	42.1497	-74.9384	NY	2	New York, United States	US	USNY	42.1497	-74.9384	NY	20170417	http://www.robinspost.com/news/politics-news/daily-politics-news/514900-politics-news-new-york-state-allots-1m-to-create-hate-crimes-task-force.html
647316355	20170417	201704	2017	2017.2932	CVLCHR	MINORITIES				CHR		CVL			MNCUSAMED	GOOGLE	USA					MNC	MED		0	090	090	09	2	-2.0	10	1	10	-9.24608819345663	2	New York, United States	US	USNY	42.1497	-74.9384	NY	2	New York, United States	US	USNY	42.1497	-74.9384	NY	2	New York, United States	US	USNY	42.1497	-74.9384	NY	20170417	http://www.robinspost.com/news/politics-news/daily-politics-news/514900-politics-news-new-york-state-allots-1m-to-create-hate-crimes-task-force.html
647317171	20170417	201704	2017	2017.2932	MOS	MUSLIM				MOS					EDU	SCHOOL						EDU			0	036	036	03	1	4.0	2	1	2	0.0652315720808798	3	Town Hall, New York, United States	US	USNY	40.7561	-73.9853	2083212	3	Town Hall, New York, United States	US	USNY	40.7561	-73.9853	2083212	3	Town Hall, New York, United States	US	USNY	40.7561	-73.9853	2083212	20170417	http://www.gothamgazette.com/city/6874-the-week-ahead-in-new-york-politics-april-17
647317172	20170417	201704	2017	2017.2932	MOS	MUSLIM				MOS					EDU	SCHOOL						EDU			0	036	036	03	1	4.0	8	1	8	0.0652315720808798	2	Connecticut, United States	US	USCT	41.5834	-72.7622	CT	2	Connecticut, United States	US	USCT	41.5834	-72.7622	CT	2	Connecticut, United States	US	USCT	41.5834	-72.7622	CT	20170417	http://www.gothamgazette.com/city/6874-the-week-ahead-in-new-york-politics-april-17
647317764	20170417	201704	2017	2017.2932	USA	NEW YORK	USA								CHR	CHRISTIAN				CHR					1	051	051	05	1	3.4	854	85	854	1.24000021318473	2	New York, United States	US	USNY	42.1497	-74.9384	NY	2	New York, United States	US	USNY	42.1497	-74.9384	NY	2	New York, United States	US	USNY	42.1497	-74.9384	NY	20170417	http://www.greenwichtime.com/news/us/article/NYC-Easter-costume-spectacle-meets-elegant-11076918.php
647317765	20170417	201704	2017	2017.2932	USA	UNITED STATES	USA								CHRLDS	LATTER DAY SAINTS				CHR	LDS				1	046	046	04	1	7.0	4	1	4	-0.25188916876574	2	Utah, United States	US	USUT	40.1135	-111.854	UT	2	Hawaii, United States	US	USHI	21.1098	-157.531	HI	2	Utah, United States	US	USUT	40.1135	-111.854	UT	20170417	http://www.eonline.com/uk/news/843834/elizabeth-smart-shares-first-photo-of-baby-no-2-on-easter-sunday
