635942353	20170312	201703	2017	2017.1973											CHRPRO300	PRESBYTERIAN				CHR	PRO				1	042	042	04	1	1.9	2	1	2	-3.59915314043754	0							3	Borough Of Queens, New York, United States	US	USNY	40.6815	-73.8365	979404	3	Borough Of Queens, New York, United States	US	USNY	40.6815	-73.8365	979404	20170312	http://theiranproject.com/blog/2017/03/12/fbi-infiltrated-nation-islam-assassinate-malcolm-x/
635942354	20170312	201703	2017	2017.1973											CHRPRO300	PRESBYTERIAN				CHR	PRO				1	042	042	04	1	1.9	2	1	2	-3.59915314043754	0							2	Nebraska, United States	US	USNE	41.1289	-98.2883	NE	2	Nebraska, United States	US	USNE	41.1289	-98.2883	NE	20170312	http://theiranproject.com/blog/2017/03/12/fbi-infiltrated-nation-islam-assassinate-malcolm-x/
635942355	20170312	201703	2017	2017.1973											CHRPRO300	PRESBYTERIAN				CHR	PRO				1	042	042	04	1	1.9	6	1	6	-3.59915314043754	0							2	New York, United States	US	USNY	42.1497	-74.9384	NY	2	New York, United States	US	USNY	42.1497	-74.9384	NY	20170312	http://theiranproject.com/blog/2017/03/12/fbi-infiltrated-nation-islam-assassinate-malcolm-x/
635942794	20170312	201703	2017	2017.1973	CHRCTH	CATHOLIC				CHR	CTH				MOS	MUSLIM				MOS					1	120	120	12	3	-4.0	10	2	10	-1.08823022294226	2	Louisiana, United States	US	USLA	31.1801	-91.8749	LA	2	Louisiana, United States	US	USLA	31.1801	-91.8749	LA	2	Louisiana, United States	US	USLA	31.1801	-91.8749	LA	20170312	https://raisingmyrainbow.com/2017/03/11/survey-says-we-need-to-educate-educators-about-rights-of-lgbtq-students/
635942795	20170312	201703	2017	2017.1973	CHRCTH	CATHOLIC				CHR	CTH				MOS	MUSLIM				MOS					1	120	120	12	3	-4.0	5	1	5	-1.07941403238242	2	Montana, United States	US	USMT	46.9048	-110.326	MT	2	Montana, United States	US	USMT	46.9048	-110.326	MT	2	Montana, United States	US	USMT	46.9048	-110.326	MT	20170312	https://raisingmyrainbow.com/2017/03/11/survey-says-we-need-to-educate-educators-about-rights-of-lgbtq-students/
635942798	20170312	201703	2017	2017.1973	CHRPRO300	PRESBYTERIAN				CHR	PRO														1	043	043	04	1	2.8	4	1	4	-3.59915314043754	3	Borough Of Queens, New York, United States	US	USNY	40.6815	-73.8365	979404	0							3	Borough Of Queens, New York, United States	US	USNY	40.6815	-73.8365	979404	20170312	http://theiranproject.com/blog/2017/03/12/fbi-infiltrated-nation-islam-assassinate-malcolm-x/
635942799	20170312	201703	2017	2017.1973	CHRPRO300	PRESBYTERIAN				CHR	PRO														1	043	043	04	1	2.8	6	1	6	-3.59915314043754	2	New York, United States	US	USNY	42.1497	-74.9384	NY	0							2	New York, United States	US	USNY	42.1497	-74.9384	NY	20170312	http://theiranproject.com/blog/2017/03/12/fbi-infiltrated-nation-islam-assassinate-malcolm-x/
635942856	20170312	201703	2017	2017.1973	COP	DETECTIVE						COP			MOSSHI	SHIA				MOS	SHI				1	173	173	17	4	-5.0	16	2	13	-1.8373939965002	2	New York, United States	US	USNY	42.1497	-74.9384	NY	2	New York, United States	US	USNY	42.1497	-74.9384	NY	2	New York, United States	US	USNY	42.1497	-74.9384	NY	20170312	http://www.avclub.com/article/alt-right-internet-detectives-have-captured-shia-l-251915
635942857	20170312	201703	2017	2017.1973	COP	DETECTIVE						COP			MOSSHI	SHIA				MOS	SHI				1	173	173	17	4	-5.0	12	2	12	-1.8373939965002	2	Tennessee, United States	US	USTN	35.7449	-86.7489	TN	2	Tennessee, United States	US	USTN	35.7449	-86.7489	TN	2	Tennessee, United States	US	USTN	35.7449	-86.7489	TN	20170312	http://www.avclub.com/article/alt-right-internet-detectives-have-captured-shia-l-251915
635943333	20170312	201703	2017	2017.1973	GTM	GUATEMALA	GTM								BUDMAH223	SOTO				BUD					0	014	014	01	1	0.0	77	37	77	-7.19961482972763	2	Texas, United States	US	USTX	31.106	-97.6475	TX	2	Texas, United States	US	USTX	31.106	-97.6475	TX	2	Texas, United States	US	USTX	31.106	-97.6475	TX	20170312	http://hosted.ap.org/dynamic/stories/L/LT_GUATEMALA_FIRE?SITE=AP&SECTION=HOME&TEMPLATE=DEFAULT&CTIME=2017-03-11-18-14-39
