631857368	20170221	201702	2017	2017.1397	IND	MUMBAI	IND								USA	THE US	USA								1	172	172	17	4	-5.0	3	1	3	-2.30263157894737	4	Mumbai, Maharashtra, India	IN	IN16	18.975	72.8258	-2092174	2	Kansas, United States	US	USKS	38.5111	-96.8005	KS	2	Kansas, United States	US	USKS	38.5111	-96.8005	KS	20170228	http://mumbaimirror.indiatimes.com/news/india/kansas-shooting-victims-body-arrives-home/articleshow/57383442.cms
631857383	20170221	201702	2017	2017.1397	MEX	MEXICO	MEX								USA	UNITED STATES	USA								1	042	042	04	1	1.9	2	1	2	-4.08695652173913	4	Agua Prieta, Durango, Mexico	MX	MX10	22.8667	-104.433	-1649850	3	Teton Pass, Wyoming, United States	US	USWY	43.4974	-110.955	1609164	4	Agua Prieta, Durango, Mexico	MX	MX10	22.8667	-104.433	-1649850	20170228	http://planetjh.com/2017/02/21/the-buzz-1-american-dreams-undocumented-fears/
631857403	20170221	201702	2017	2017.1397	USA	THE US	USA								IND	MUMBAI	IND								1	193	193	19	4	-10.0	1	1	1	-2.30263157894737	2	Kansas, United States	US	USKS	38.5111	-96.8005	KS	4	Mumbai, Maharashtra, India	IN	IN16	18.975	72.8258	-2092174	2	Kansas, United States	US	USKS	38.5111	-96.8005	KS	20170228	http://mumbaimirror.indiatimes.com/news/india/kansas-shooting-victims-body-arrives-home/articleshow/57383442.cms
631857410	20170221	201702	2017	2017.1397	USA	UNITED STATES	USA								MEX	MEXICO	MEX								1	043	043	04	1	2.8	2	1	2	-4.08695652173913	3	Teton Pass, Wyoming, United States	US	USWY	43.4974	-110.955	1609164	4	Agua Prieta, Durango, Mexico	MX	MX10	22.8667	-104.433	-1649850	4	Agua Prieta, Durango, Mexico	MX	MX10	22.8667	-104.433	-1649850	20170228	http://planetjh.com/2017/02/21/the-buzz-1-american-dreams-undocumented-fears/
631857491	20170228	201702	2017	2017.1589											CHN	CHINA	CHN								0	042	042	04	1	1.9	2	1	2	1.47058823529411	0							3	Washington, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	4	Tang Cheng, Anhui, China	CH	CH01	30.1415	118.677	10996550	20170228	http://nwasianweekly.com/2017/02/special-delivery-us-born-panda-cub-bao-bao-back-in-central-china/
631857648	20170228	201702	2017	2017.1589											GOV	PRESIDENT						GOV			1	051	051	05	1	3.4	1	1	1	-1.55709342560553	0							1	China	CH	CH	35	105	CH	2	Colorado, United States	US	USCO	39.0646	-105.327	CO	20170228	http://www.timescall.com/opinion/tc-line-calls/ci_30823406/tc-line-eliminating-illegals
631857917	20170228	201702	2017	2017.1589											USA	UNITED STATES	USA								1	040	040	04	1	1.0	2	1	2	-6.67574931880109	0							2	Kansas, United States	US	USKS	38.5111	-96.8005	KS	4	Hyderabad, Andhra Pradesh, India	IN	IN02	17.3753	78.4744	-2097701	20170228	http://www.1470wmbd.com/syndicated-article/?id=318036
631858008	20170228	201702	2017	2017.1589											USA	UNITED STATES	USA								0	110	110	11	3	-2.0	8	4	8	-6.66440834419303	0							3	Olathe, Kansas, United States	US	USKS	38.8814	-94.8191	479198	4	Hyderabad, Andhra Pradesh, India	IN	IN02	17.3753	78.4744	-2097701	20170228	http://www.1470wmbd.com/syndicated-article/?id=318036
631858011	20170228	201702	2017	2017.1589											USA	KANSAS	USA								0	110	110	11	3	-2.0	8	4	8	-6.66440834419303	0							2	Kansas, United States	US	USKS	38.5111	-96.8005	KS	4	Hyderabad, Andhra Pradesh, India	IN	IN02	17.3753	78.4744	-2097701	20170228	http://www.1470wmbd.com/syndicated-article/?id=318036
631858056	20170228	201702	2017	2017.1589											USAGOV	RICHARD NIXON	USA					GOV			0	042	042	04	1	1.9	2	1	2	1.47058823529411	0							3	Washington, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	4	Tang Cheng, Anhui, China	CH	CH01	30.1415	118.677	10996550	20170228	http://nwasianweekly.com/2017/02/special-delivery-us-born-panda-cub-bao-bao-back-in-central-china/
631858231	20170228	201702	2017	2017.1589	BUS	BANK						BUS													0	010	010	01	1	0.0	2	1	2	0.12642225031605	4	London, London, City of, United Kingdom	UK	UKH9	51.5	-0.116667	-2601889	0							1	United States	US	US	38	-97	US	20170228	http://dailytimes.com.pk/business/28-Feb-17/upstart-analysts-show-banks-the-way-in-new-era-for-research
631858342	20170228	201702	2017	2017.1589	BUS	BUSINESS						BUS			GBR	UNITED KINGDOM	GBR								0	042	042	04	1	1.9	2	1	2	-1.19047619047619	2	Georgia, United States	US	USGA	32.9866	-83.6487	GA	5	Warwickshire, Warwickshire, United Kingdom	UK	UKP3	52.3333	-1.58333	-2610946	4	Wellington, New Zealand (general), New Zealand	NZ	NZ00	-41.3	174.783	-1521348	20170228	http://www.wcl.govt.nz/blog/index.php/2017/02/28/new-other-genres-for-february/
631858407	20170228	201702	2017	2017.1589	BUS	BANK						BUS			USAMED	REUTERS	USA					MED			1	013	013	01	1	0.4	3	1	3	0.12642225031605	4	London, London, City of, United Kingdom	UK	UKH9	51.5	-0.116667	-2601889	1	United States	US	US	38	-97	US	1	United States	US	US	38	-97	US	20170228	http://dailytimes.com.pk/business/28-Feb-17/upstart-analysts-show-banks-the-way-in-new-era-for-research
631858420	20170228	201702	2017	2017.1589	BUSMED	BUSINESS						BUS	MED		GBR	UNITED KINGDOM	GBR								0	042	042	04	1	1.9	1	1	1	-1.19047619047619	2	Georgia, United States	US	USGA	32.9866	-83.6487	GA	5	Warwickshire, Warwickshire, United Kingdom	UK	UKP3	52.3333	-1.58333	-2610946	4	Wellington, New Zealand (general), New Zealand	NZ	NZ00	-41.3	174.783	-1521348	20170228	http://www.wcl.govt.nz/blog/index.php/2017/02/28/new-other-genres-for-february/
