642106227	20170324	201703	2017	2017.2301											CHN	CHINA	CHN								1	036	036	03	1	4.0	38	9	38	-2.69513301126483	0							4	Beijing, Beijing, China	CH	CH22	39.9289	116.388	-1898541	3	Washington, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	20170331	https://www.yahoo.com/news/trump-predicts-very-difficult-china-summit-231055923.html
642106228	20170324	201703	2017	2017.2301											CHN	CHINA	CHN								1	036	036	03	1	4.0	227	16	227	-3.35336385120342	0							4	Beijing, Beijing, China	CH	CH22	39.9289	116.388	-1898541	2	Florida, United States	US	USFL	27.8333	-81.717	FL	20170331	https://www.yahoo.com/news/trump-predicts-very-difficult-china-summit-231055923.html
642106230	20170324	201703	2017	2017.2301	CHN	CHINA	CHN								GOV	GOVERNMENT						GOV			1	046	046	04	1	7.0	66	22	66	-7.49742623864925	1	China	CH	CH	35	105	CH	2	Florida, United States	US	USFL	27.8333	-81.717	FL	2	Florida, United States	US	USFL	27.8333	-81.717	FL	20170331	http://wbt.com/trump-predicts-very-difficult-meeting-with-chinas-leader/
642106232	20170324	201703	2017	2017.2301	CHN	CHINESE	CHN								USA	WASHINGTON	USA								1	040	040	04	1	1.0	68	11	68	-4.72826634189207	1	China	CH	CH	35	105	CH	3	Washington, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	1	China	CH	CH	35	105	CH	20170331	http://wbt.com/trump-predicts-very-difficult-meeting-with-chinas-leader/
642106233	20170324	201703	2017	2017.2301	CHN	CHINESE	CHN								USA	WASHINGTON	USA								1	040	040	04	1	1.0	14	7	14	-7.10127628846109	1	China	CH	CH	35	105	CH	1	China	CH	CH	35	105	CH	3	Washington, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	20170331	http://wbt.com/trump-predicts-very-difficult-meeting-with-chinas-leader/
642106234	20170324	201703	2017	2017.2301	CHN	CHINESE	CHN								USA	WASHINGTON	USA								1	040	040	04	1	1.0	2	1	2	-5.91133004926108	1	China	CH	CH	35	105	CH	1	China	CH	CH	35	105	CH	2	Washington, United States	US	USWA	47.3917	-121.571	WA	20170331	http://magicvalley.com/news/national/govt-and-politics/trump-predicts-very-difficult-meeting-with-china-s-leader/article_06f9643d-f2c2-58d8-a758-138db7619629.html
642106235	20170324	201703	2017	2017.2301	CHN	CHINESE	CHN								USA	WASHINGTON	USA								1	040	040	04	1	1.0	2	1	2	-5.91133004926108	1	China	CH	CH	35	105	CH	2	Washington, United States	US	USWA	47.3917	-121.571	WA	1	China	CH	CH	35	105	CH	20170331	http://magicvalley.com/news/national/govt-and-politics/trump-predicts-very-difficult-meeting-with-china-s-leader/article_06f9643d-f2c2-58d8-a758-138db7619629.html
642106236	20170324	201703	2017	2017.2301	CHNGOV	CHINESE	CHN					GOV			USA	WASHINGTON	USA								1	040	040	04	1	1.0	103	9	103	-5.44284963435992	1	China	CH	CH	35	105	CH	3	Washington, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	1	China	CH	CH	35	105	CH	20170331	http://wbt.com/trump-predicts-very-difficult-meeting-with-chinas-leader/
642106238	20170324	201703	2017	2017.2301	CHNGOV	CHINESE	CHN					GOV			USA	WASHINGTON	USA								1	040	040	04	1	1.0	6	1	6	-5.91133004926108	1	China	CH	CH	35	105	CH	2	Washington, United States	US	USWA	47.3917	-121.571	WA	1	China	CH	CH	35	105	CH	20170331	http://magicvalley.com/news/national/govt-and-politics/trump-predicts-very-difficult-meeting-with-china-s-leader/article_06f9643d-f2c2-58d8-a758-138db7619629.html
642106245	20170324	201703	2017	2017.2301	GOV	GOVERNMENT						GOV			CHN	CHINA	CHN								1	046	046	04	1	7.0	66	22	66	-7.49742623864925	2	Florida, United States	US	USFL	27.8333	-81.717	FL	1	China	CH	CH	35	105	CH	2	Florida, United States	US	USFL	27.8333	-81.717	FL	20170331	http://wbt.com/trump-predicts-very-difficult-meeting-with-chinas-leader/
642106264	20170324	201703	2017	2017.2301	USA	UNITED STATES	USA								CHN	CHINA	CHN								1	036	036	03	1	4.0	32	13	32	-2.38160188815055	3	Washington, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	4	Beijing, Beijing, China	CH	CH22	39.9289	116.388	-1898541	3	Washington, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	20170331	https://www.yahoo.com/news/trump-predicts-very-difficult-china-summit-231055923.html
642106265	20170324	201703	2017	2017.2301	USA	WASHINGTON	USA								CHN	CHINESE	CHN								1	040	040	04	1	1.0	68	11	68	-4.72826634189207	3	Washington, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	1	China	CH	CH	35	105	CH	1	China	CH	CH	35	105	CH	20170331	http://wbt.com/trump-predicts-very-difficult-meeting-with-chinas-leader/
642106266	20170324	201703	2017	2017.2301	USA	WASHINGTON	USA								CHN	CHINESE	CHN								1	040	040	04	1	1.0	14	7	14	-7.10127628846109	1	China	CH	CH	35	105	CH	1	China	CH	CH	35	105	CH	3	Washington, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	20170331	http://wbt.com/trump-predicts-very-difficult-meeting-with-chinas-leader/
642106267	20170324	201703	2017	2017.2301	USA	WASHINGTON	USA								CHN	CHINESE	CHN								1	040	040	04	1	1.0	2	1	2	-5.91133004926108	1	China	CH	CH	35	105	CH	1	China	CH	CH	35	105	CH	2	Washington, United States	US	USWA	47.3917	-121.571	WA	20170331	http://magicvalley.com/news/national/govt-and-politics/trump-predicts-very-difficult-meeting-with-china-s-leader/article_06f9643d-f2c2-58d8-a758-138db7619629.html
642106268	20170324	201703	2017	2017.2301	USA	WASHINGTON	USA								CHN	CHINESE	CHN								1	040	040	04	1	1.0	2	1	2	-5.91133004926108	2	Washington, United States	US	USWA	47.3917	-121.571	WA	1	China	CH	CH	35	105	CH	1	China	CH	CH	35	105	CH	20170331	http://magicvalley.com/news/national/govt-and-politics/trump-predicts-very-difficult-meeting-with-china-s-leader/article_06f9643d-f2c2-58d8-a758-138db7619629.html
642106269	20170324	201703	2017	2017.2301	USA	WASHINGTON	USA								CHNGOV	CHINESE	CHN					GOV			1	040	040	04	1	1.0	103	9	103	-5.44284963435992	3	Washington, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	1	China	CH	CH	35	105	CH	1	China	CH	CH	35	105	CH	20170331	http://wbt.com/trump-predicts-very-difficult-meeting-with-chinas-leader/
642106271	20170324	201703	2017	2017.2301	USA	WASHINGTON	USA								CHNGOV	CHINESE	CHN					GOV			1	040	040	04	1	1.0	6	1	6	-5.91133004926108	2	Washington, United States	US	USWA	47.3917	-121.571	WA	1	China	CH	CH	35	105	CH	1	China	CH	CH	35	105	CH	20170331	http://magicvalley.com/news/national/govt-and-politics/trump-predicts-very-difficult-meeting-with-china-s-leader/article_06f9643d-f2c2-58d8-a758-138db7619629.html
642106272	20170324	201703	2017	2017.2301	USA	UNITED STATES	USA								CHNGOV	XI JINPING	CHN					GOV			1	043	043	04	1	2.8	1	1	1	-0.8695652173913	4	Beijing, Beijing, China	CH	CH22	39.9289	116.388	-1898541	2	Florida, United States	US	USFL	27.8333	-81.717	FL	2	Florida, United States	US	USFL	27.8333	-81.717	FL	20170331	http://www.business-standard.com/article/international/donald-trump-to-host-xi-jinping-at-his-florida-residence-next-week-117033000963_1.html
642106315	20170331	201703	2017	2017.2493											BUS	INDUSTRY						BUS			0	030	030	03	1	4.0	10	2	10	1.31503920171062	0							4	Essex, Ontario, Canada	CA	CA08	42.1667	-82.8167	-564336	2	Michigan, United States	US	USMI	43.3504	-84.5603	MI	20170331	http://windsorstar.com/opinion/columnists/jarvis-jobs-jobs-jobs-for-the-u-s-and-canada
642106478	20170331	201703	2017	2017.2493											GBR	BRITAIN	GBR								0	192	192	19	4	-9.5	4	2	4	-4.33753943217666	0							1	United Kingdom	UK	UK	54	-2	UK	3	Washington, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	20170331	http://www.bbc.com/news/world-us-canada-39447912
642106727	20170331	201703	2017	2017.2493											USA	UNITED STATES	USA								0	036	036	03	1	4.0	2	1	2	-1.63934426229508	0							3	Washington, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	4	Beijing, Beijing, China	CH	CH22	39.9289	116.388	-1898541	20170331	https://www.yahoo.com/news/trump-predicts-very-difficult-china-summit-231055923.html
642106744	20170331	201703	2017	2017.2493											USA	MICHIGAN	USA								1	042	042	04	1	1.9	20	2	20	-1.49253731343283	0							3	Chicago, Illinois, United States	US	USIL	41.85	-87.6501	423587	4	Kelowna, British Columbia, Canada	CA	CA02	49.9	-119.483	-567125	20170331	http://www.delhinewsrecord.com/2017/03/30/training-budget-slashed-by-councillors
642106853	20170331	201703	2017	2017.2493											USA	AMERICAN	USA								1	190	190	19	4	-10.0	8	1	8	-0.84566596194503	0							2	Arizona, United States	US	USAZ	33.7712	-111.388	AZ	1	Mexico	MX	MX	23	-102	MX	20170331	http://www.houstonchronicle.com/lifestyle/calle-houston/article/Houston-will-become-center-of-discussion-on-11026427.php
642106854	20170331	201703	2017	2017.2493											USA	UNITED STATES	USA								1	190	190	19	4	-10.0	2	1	2	-0.84566596194503	0							1	Mexico	MX	MX	23	-102	MX	2	Texas, United States	US	USTX	31.106	-97.6475	TX	20170331	http://www.houstonchronicle.com/lifestyle/calle-houston/article/Houston-will-become-center-of-discussion-on-11026427.php
642106931	20170331	201703	2017	2017.2493	AGR	RANCHER						AGR			USA	ARIZONA	USA								0	114	114	11	3	-2.0	2	1	2	-1.16279069767441	4	Cananea, Sonora, Mexico	MX	MX26	30.95	-110.3	-1654973	2	Arizona, United States	US	USAZ	33.7712	-111.388	AZ	2	Arizona, United States	US	USAZ	33.7712	-111.388	AZ	20170331	http://www.tucsonnewsnow.com/story/35037003/mexican-wolf-captured-in-chiricahua-area-of-arizona
642106948	20170331	201703	2017	2017.2493	ARGLEG	ARGENTINA	ARG					LEG			USA	THE US	USA								1	016	016	01	1	-2.0	2	1	2	1.53846153846154	1	Mexico	MX	MX	23	-102	MX	1	United States	US	US	38	-97	US	1	Mexico	MX	MX	23	-102	MX	20170331	https://www.bnamericas.com/en/news/petrochemicals/argentine-exporters-dismiss-us-biodiesel-dumping-claim
642107201	20170331	201703	2017	2017.2493	BUS	BANK						BUS			IGOUNODEVWBK	WORLD BANK		UNO				IGO	DEV		0	051	051	05	1	3.4	8	1	8	-5.4177794734834	1	China	CH	CH	35	105	CH	1	United States	US	US	38	-97	US	1	China	CH	CH	35	105	CH	20170331	http://www.blacklistednews.com/New_World_Disorder_%E2%80%93_Disintegration_Stage_Commences/57618/0/38/38/Y/M.html
642107213	20170331	201703	2017	2017.2493	BUS	COMPANY						BUS			MEX	MEXICO	MEX								1	030	030	03	1	4.0	1	1	1	-1.4765100671141	4	Monterrey, Nuevo LeóX, Mexico	MX	MX19	25.6667	-100.317	-1684228	4	Monterrey, Nuevo LeóX, Mexico	MX	MX19	25.6667	-100.317	-1684228	2	Indiana, United States	US	USIN	39.8647	-86.2604	IN	20170331	http://slinkingtowardretirement.com/?p=264312
642107291	20170331	201703	2017	2017.2493	CAN	CANADA	CAN								GOV	PRESIDENT						GOV			1	036	036	03	1	4.0	4	2	4	1.31503920171062	4	Essex, Ontario, Canada	CA	CA08	42.1667	-82.8167	-564336	2	Michigan, United States	US	USMI	43.3504	-84.5603	MI	4	Essex, Ontario, Canada	CA	CA08	42.1667	-82.8167	-564336	20170331	http://windsorstar.com/opinion/columnists/jarvis-jobs-jobs-jobs-for-the-u-s-and-canada
642107340	20170331	201703	2017	2017.2493	CHN	CHINA	CHN								GOV	PRESIDENT						GOV			0	013	013	01	1	0.4	2	1	2	-2.42424242424243	1	China	CH	CH	35	105	CH	3	Washington, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	1	China	CH	CH	35	105	CH	20170331	http://english.chosun.com/site/data/html_dir/2017/03/31/2017033100552.html
642107341	20170331	201703	2017	2017.2493	CHN	CHINESE	CHN								GOV	PRESIDENT						GOV			1	040	040	04	1	1.0	3	2	3	-0.712121212121215	1	China	CH	CH	35	105	CH	3	Washington, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	1	China	CH	CH	35	105	CH	20170331	http://english.chosun.com/site/data/html_dir/2017/03/31/2017033100552.html
642107355	20170331	201703	2017	2017.2493	CHN	CHINA	CHN								USA	WASHINGTON	USA								0	010	010	01	1	0.0	28	7	28	-1.35364707119149	4	Beijing, Beijing, China	CH	CH22	39.9289	116.388	-1898541	3	Washington, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	3	Washington, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	20170331	http://www.zerohedge.com/news/2017-03-30/trump-sets-aggressive-tone-ahead-meeting-chinas-president-next-week
642107356	20170331	201703	2017	2017.2493	CHN	CHINA	CHN								USA	UNITED STATES	USA								1	030	030	03	1	4.0	1	1	1	-1.0028653295129	4	Beijing, Beijing, China	CH	CH22	39.9289	116.388	-1898541	3	Washington, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	3	Washington, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	20170331	http://www.chinadaily.com.cn/opinion/2017-03/31/content_28748391.htm
642107357	20170331	201703	2017	2017.2493	CHN	CHINESE	CHN								USA	UNITED STATES	USA								1	036	036	03	1	4.0	3	2	3	-0.89667637312983	4	Lu Kang, Anhui, China	CH	CH01	31.2728	118.337	-1916844	2	Florida, United States	US	USFL	27.8333	-81.717	FL	2	Florida, United States	US	USFL	27.8333	-81.717	FL	20170331	http://www.business-standard.com/article/international/donald-trump-to-host-xi-jinping-at-his-florida-residence-next-week-117033000963_1.html
642107359	20170331	201703	2017	2017.2493	CHN	BEIJING	CHN								USA	WASHINGTON	USA								1	040	040	04	1	1.0	91	22	79	-2.30828625804517	4	Beijing, Beijing, China	CH	CH22	39.9289	116.388	-1898541	3	Washington, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	4	Beijing, Beijing, China	CH	CH22	39.9289	116.388	-1898541	20170331	https://www.yahoo.com/news/trump-predicts-very-difficult-china-summit-231055923.html
642107360	20170331	201703	2017	2017.2493	CHN	CHINA	CHN								USA	UNITED STATES	USA								0	040	040	04	1	1.0	22	12	18	-1.84823188862746	3	Washington, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	3	Washington, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	4	Beijing, Beijing, China	CH	CH22	39.9289	116.388	-1898541	20170331	https://www.yahoo.com/news/trump-predicts-very-difficult-china-summit-231055923.html
