646642972	20170414	201704	2017	2017.2849	BUDMAH223	SOTO				BUD					USA	UNITED STATES	USA								0	190	190	19	4	-10.0	18	8	18	-9.5515916885479	3	San Diego, California, United States	US	USCA	32.7153	-117.157	1661377	3	San Diego, California, United States	US	USCA	32.7153	-117.157	1661377	4	Sinaloa, Tabasco, Mexico	MX	MX27	18.4917	-93.75	6226960	20170414	http://www.nydailynews.com/newswires/news/national/man-suspected-shooting-border-agent-arrested-mexico-article-1.3050365
646643133	20170414	201704	2017	2017.2849	BUS	AIRLINE						BUS			USAHLH	AMERICAN	USA					HLH			1	130	130	13	3	-4.4	24	4	24	-4.212426658643	1	Canada	CA	CA	60	-95	CA	3	Chicago, Illinois, United States	US	USIL	41.85	-87.6501	423587	1	Canada	CA	CA	60	-95	CA	20170414	http://www.thenewstribune.com/news/business/article144471869.html
646643188	20170414	201704	2017	2017.2849	CAN	CANADA	CAN																		1	111	111	11	3	-2.0	1	1	1	-4.00827514869408	4	Toronto, Ontario, Canada	CA	CA08	43.6667	-79.4167	-574890	0							2	Texas, United States	US	USTX	31.106	-97.6475	TX	20170414	http://www.dailyxtra.com/canada/news-and-ideas/news/battleground-barbados-lgbt-activists-face-north-american-homophobes-in-the-caribbean-218885
646643215	20170414	201704	2017	2017.2849	CAN	CANADA	CAN								BUS	AIRLINE						BUS			1	182	182	18	4	-9.5	16	4	16	-4.212426658643	1	Canada	CA	CA	60	-95	CA	1	Canada	CA	CA	60	-95	CA	3	Chicago, Illinois, United States	US	USIL	41.85	-87.6501	423587	20170414	http://www.thenewstribune.com/news/business/article144471869.html
646643221	20170414	201704	2017	2017.2849	CAN	CANADIAN	CAN								CANGOV	CANADIAN	CAN					GOV			1	081	081	08	2	5.0	9	2	9	-0.459418070444105	1	Canada	CA	CA	60	-95	CA	1	United States	US	US	38	-97	US	1	United States	US	US	38	-97	US	20170414	https://unicornbooty.com/canada-marijuana-legalization-bill/
646643222	20170414	201704	2017	2017.2849	CAN	CANADIAN	CAN								CANGOV	CANADA	CAN					GOV			1	081	081	08	2	5.0	2	1	2	0	1	United States	US	US	38	-97	US	1	Canada	CA	CA	60	-95	CA	1	Canada	CA	CA	60	-95	CA	20170414	https://unicornbooty.com/canada-marijuana-legalization-bill/
646643254	20170414	201704	2017	2017.2849	CAN	CANADA	CAN								NGA	NIGERIAN	NGA								1	111	111	11	3	-2.0	1	1	1	-4.00827514869408	4	Toronto, Ontario, Canada	CA	CA08	43.6667	-79.4167	-574890	2	Texas, United States	US	USTX	31.106	-97.6475	TX	2	Texas, United States	US	USTX	31.106	-97.6475	TX	20170414	http://www.dailyxtra.com/canada/news-and-ideas/news/battleground-barbados-lgbt-activists-face-north-american-homophobes-in-the-caribbean-218885
646643269	20170414	201704	2017	2017.2849	CAN	SASKATCHEWAN	CAN								USA	UNITED STATES	USA								1	013	013	01	1	0.4	1	1	1	0.81566068515498	4	Ottawa, Ontario, Canada	CA	CA08	45.4167	-75.7	-570760	4	Ottawa, Ontario, Canada	CA	CA08	45.4167	-75.7	-570760	2	Arizona, United States	US	USAZ	33.7712	-111.388	AZ	20170414	http://www.phoenixnewtimes.com/news/toke-up-eh-canada-poised-for-historic-marijuana-legalization-law-9244223
646643270	20170414	201704	2017	2017.2849	CAN	SASKATCHEWAN	CAN								USA	ARIZONA	USA								1	013	013	01	1	0.4	4	1	4	0.81566068515498	4	Ottawa, Ontario, Canada	CA	CA08	45.4167	-75.7	-570760	2	Arizona, United States	US	USAZ	33.7712	-111.388	AZ	2	Arizona, United States	US	USAZ	33.7712	-111.388	AZ	20170414	http://www.phoenixnewtimes.com/news/toke-up-eh-canada-poised-for-historic-marijuana-legalization-law-9244223
646643271	20170414	201704	2017	2017.2849	CAN	CANADA	CAN								USA	UNITED STATES	USA								1	013	013	01	1	0.4	1	1	1	0.81566068515498	2	Oregon, United States	US	USOR	44.5672	-122.127	OR	4	Ottawa, Ontario, Canada	CA	CA08	45.4167	-75.7	-570760	4	Ottawa, Ontario, Canada	CA	CA08	45.4167	-75.7	-570760	20170414	http://www.phoenixnewtimes.com/news/toke-up-eh-canada-poised-for-historic-marijuana-legalization-law-9244223
