638282775	20170319	201703	2017	2017.2164	CAN	CANADA	CAN								USA	NEW YORK	USA								1	043	043	04	1	2.8	52	12	52	1.13887353605417	1	Canada	CA	CA	60	-95	CA	2	New York, United States	US	USNY	42.1497	-74.9384	NY	1	Canada	CA	CA	60	-95	CA	20170319	http://www.courant.com/nation-world/ct-trump-white-house-infighting-20170318-story.html
638282826	20170319	201703	2017	2017.2164	CHN	CHINA	CHN								USA	AMERICAN	USA								0	045	045	04	1	5.0	56	5	56	1.67618738937231	4	Beijing, Beijing, China	CH	CH22	39.9289	116.388	-1898541	1	United States	US	US	38	-97	US	4	Beijing, Beijing, China	CH	CH22	39.9289	116.388	-1898541	20170319	http://www.thestar.com.my/news/regional/2017/03/19/china-and-saudi-agree-to-more-oil-cooperation-both-countries-seeking-to-cement-ties-with-each-other/
638282827	20170319	201703	2017	2017.2164	CHN	CHINA	CHN								USA	UNITED STATES	USA								0	045	045	04	1	5.0	6	2	6	1.73535958246988	1	Israel	IS	IS	31.5	34.75	IS	1	United States	US	US	38	-97	US	4	Beijing, Beijing, China	CH	CH22	39.9289	116.388	-1898541	20170319	http://www.thestar.com.my/news/regional/2017/03/19/china-and-saudi-agree-to-more-oil-cooperation-both-countries-seeking-to-cement-ties-with-each-other/
638282829	20170319	201703	2017	2017.2164	CHN	CHINA	CHN								USA	UNITED STATES	USA								0	190	190	19	4	-10.0	2	1	2	-5.66037735849056	4	Beijing, Beijing, China	CH	CH22	39.9289	116.388	-1898541	4	Beijing, Beijing, China	CH	CH22	39.9289	116.388	-1898541	3	Washington, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	20170319	http://www.worldbulletin.net/news/186478/tillerson-rejects-nuclear-talks-with-north-korea
638282830	20170319	201703	2017	2017.2164	CHN	BEIJING	CHN								USA	WASHINGTON	USA								0	190	190	19	4	-10.0	10	2	10	-3.64485263036544	4	Beijing, Beijing, China	CH	CH22	39.9289	116.388	-1898541	3	Washington, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	3	Washington, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	20170319	http://www.worldbulletin.net/news/186478/tillerson-rejects-nuclear-talks-with-north-korea
638282856	20170319	201703	2017	2017.2164	CHNGOV	CHINA	CHN					GOV			PRK	NORTH KOREA	PRK								0	040	040	04	1	1.0	2	1	2	-5.66037735849056	4	Beijing, Beijing, China	CH	CH22	39.9289	116.388	-1898541	4	Pyongyang, P'yongyang-si, North Korea	KN	KN12	39.0194	125.755	-183459	3	Washington, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	20170319	http://www.worldbulletin.net/news/186478/tillerson-rejects-nuclear-talks-with-north-korea
638282858	20170319	201703	2017	2017.2164	CHNGOV	XI JINPING	CHN					GOV			USA	WASHINGTON	USA								0	036	036	03	1	4.0	4	1	4	-5.66037735849056	4	Beijing, Beijing, China	CH	CH22	39.9289	116.388	-1898541	3	Washington, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	4	Beijing, Beijing, China	CH	CH22	39.9289	116.388	-1898541	20170319	http://www.worldbulletin.net/news/186478/tillerson-rejects-nuclear-talks-with-north-korea
638282959	20170319	201703	2017	2017.2164	COP	DETECTIVE						COP			GBR	BRITISH	GBR								1	090	090	09	2	-2.0	2	1	2	-5.76923076923077	1	United States	US	US	38	-97	US	4	Heathrow, Hillingdon, United Kingdom	UK	UKF9	51.4667	-0.45	-2598406	1	United States	US	US	38	-97	US	20170319	http://usa.onlinenigeria.com/news/176094-police-hunt-for-7million-snatched-during-airport-heist.html
638282961	20170319	201703	2017	2017.2164	COP	DETECTIVE						COP			GBR	BRITISH	GBR								1	1712	171	17	4	-9.2	4	1	4	-5.76923076923077	1	United States	US	US	38	-97	US	4	Heathrow, Hillingdon, United Kingdom	UK	UKF9	51.4667	-0.45	-2598406	4	Heathrow, Hillingdon, United Kingdom	UK	UKF9	51.4667	-0.45	-2598406	20170319	http://usa.onlinenigeria.com/news/176094-police-hunt-for-7million-snatched-during-airport-heist.html
638282963	20170319	201703	2017	2017.2164	COP	DETECTIVE						COP			GBR	BRITISH	GBR								1	190	190	19	4	-10.0	4	1	4	-5.76923076923077	1	United States	US	US	38	-97	US	4	Heathrow, Hillingdon, United Kingdom	UK	UKF9	51.4667	-0.45	-2598406	4	Heathrow, Hillingdon, United Kingdom	UK	UKF9	51.4667	-0.45	-2598406	20170319	http://usa.onlinenigeria.com/news/176094-police-hunt-for-7million-snatched-during-airport-heist.html
