633625886	20170305	201703	2017	2017.1781											CHRCTH	CATHOLIC				CHR	CTH				0	100	100	10	3	-5.0	4	1	4	5.00410172272354	0							3	Palmdale, California, United States	US	USCA	34.5794	-118.116	1652769	4	Agua Dulce, Sinaloa, Mexico	MX	MX25	22.8333	-106.05	-1649608	20170305	https://signalscv.com/2017/03/04/hundreds-show-knight-town-hall/
633626015	20170305	201703	2017	2017.1781											MEX	MEXICO	MEX								0	040	040	04	1	1.0	2	2	2	-3.2414996007229	0							1	Mexico	MX	MX	23	-102	MX	2	Oregon, United States	US	USOR	44.5672	-122.127	OR	20170305	http://www.waow.com/story/34665889/20-year-sentence-for-mistaken-washington-state-honor-killing
633626050	20170305	201703	2017	2017.1781											REF	REFUGEE						REF			1	057	057	05	1	8.0	20	2	20	-2.06576570692749	0							3	Detroit, Michigan, United States	US	USMI	42.3314	-83.0458	1617959	1	Mexico	MX	MX	23	-102	MX	20170305	http://hosted.ap.org/dynamic/stories/U/US_MARCH_4_TRUMP_MNOL-?SITE=GAGAI&SECTION=WEATHER&TEMPLATE=DEFAULT&CTIME=2017-03-04-18-38-32
633626104	20170305	201703	2017	2017.1781											USA	UNITED STATES	USA								1	042	042	04	1	1.9	4	2	4	0.69813128115208	0							1	China	CH	CH	35	105	CH	2	Maine, United States	US	USME	44.6074	-69.3977	ME	20170305	http://www.wlbz2.com/news/local/despite-cold-mainers-gather-in-augusta-to-march-4-trump/419833363
633626309	20170305	201703	2017	2017.1781	CAN	TORONTO	CAN								GOV	PRESIDENT						GOV			0	051	051	05	1	3.4	21	2	21	-2.21375467969979	4	Toronto, Ontario, Canada	CA	CA08	43.6667	-79.4167	-574890	2	New York, United States	US	USNY	42.1497	-74.9384	NY	4	Toronto, Ontario, Canada	CA	CA08	43.6667	-79.4167	-574890	20170305	http://www.grandhaventribune.com/Nation/2017/03/04/Trump-slump-Signs-of-drop-in-international-tourism-to-US
633626311	20170305	201703	2017	2017.1781	CAN	TORONTO	CAN								GOV	PRESIDENT						GOV			0	163	163	16	4	-8.0	24	2	24	-2.21375467969979	4	Toronto, Ontario, Canada	CA	CA08	43.6667	-79.4167	-574890	2	New York, United States	US	USNY	42.1497	-74.9384	NY	4	Toronto, Ontario, Canada	CA	CA08	43.6667	-79.4167	-574890	20170305	http://www.grandhaventribune.com/Nation/2017/03/04/Trump-slump-Signs-of-drop-in-international-tourism-to-US
633626420	20170305	201703	2017	2017.1781	COP	PRISON						COP			USA	WASHINGTON	USA								1	012	012	01	1	-0.4	2	1	2	-3.3259423503326	1	Mexico	MX	MX	23	-102	MX	3	Washington, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	3	Washington, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	20170305	http://freerepublic.com/focus/f-news/3531524/posts
633626718	20170305	201703	2017	2017.1781	GBR	UNITED KINGDOM	GBR								USA	UNITED STATES	USA								1	036	036	03	1	4.0	1	1	1	-0.25252525252525	4	London, London, City of, United Kingdom	UK	UKH9	51.5	-0.116667	-2601889	3	White House, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	3	White House, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	20170305	http://americanfreepress.net/could-more-war-open-the-door-for-global-bank/
633626719	20170305	201703	2017	2017.1781	GBR	UNITED KINGDOM	GBR								USA	UNITED STATES	USA								1	036	036	03	1	4.0	2	1	2	-0.25252525252525	4	London, London, City of, United Kingdom	UK	UKH9	51.5	-0.116667	-2601889	3	White House, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	2	Virginia, United States	US	USVA	37.768	-78.2057	VA	20170305	http://americanfreepress.net/could-more-war-open-the-door-for-global-bank/
633626900	20170305	201703	2017	2017.1781	GOV	FOREIGN MINIST						GOV			MEX	MEXICAN	MEX								1	020	020	02	1	3.0	19	10	19	-4.29773906412138	2	New York, United States	US	USNY	42.1497	-74.9384	NY	1	Mexico	MX	MX	23	-102	MX	1	Mexico	MX	MX	23	-102	MX	20170305	http://wsau.com/news/articles/2017/mar/04/mexico-opens-migrant-defense-centers-at-us-consulates/
633626965	20170305	201703	2017	2017.1781	GOV	FOREIGN MINIST						GOV			USA	UNITED STATES	USA								1	020	020	02	1	3.0	96	14	90	-3.90453399503088	1	Mexico	MX	MX	23	-102	MX	2	New York, United States	US	USNY	42.1497	-74.9384	NY	1	Mexico	MX	MX	23	-102	MX	20170305	http://wsau.com/news/articles/2017/mar/04/mexico-opens-migrant-defense-centers-at-us-consulates/
