618858915	20170120	201701	2017	2017.0548											CRM	TRAFFICKER						CRM			1	112	112	11	3	-2.0	2	1	2	-3.17073170731708	0							3	Tampa Bay, Florida, United States	US	USFL	27.765	-82.5825	294169	4	Sinaloa, Tabasco, Mexico	MX	MX27	18.4917	-93.75	6226960	20170120	http://www.abcactionnews.com/news/national/joaquin-el-chapo-guzman-has-been-extradited-to-the-us
618859010	20170120	201701	2017	2017.0548											GOV	PRESIDENT						GOV			0	036	036	03	1	4.0	8	1	8	1.50283321015028	0							4	Saskatchewan, Manitoba, Canada	CA	CA03	52.15	-97.7167	-575075	2	California, United States	US	USCA	36.17	-119.746	CA	20170120	http://spectrummagazine.org/node/7843
618859042	20170120	201701	2017	2017.0548											GOV	PRESIDENT						GOV			0	051	051	05	1	3.4	6	2	6	0.100250853262903	0							1	Mexico	MX	MX	23	-102	MX	2	Florida, United States	US	USFL	27.8333	-81.717	FL	20170120	http://www.reuters.com/article/union-pacific-ma-idUSL1N1F92JK
618859141	20170120	201701	2017	2017.0548											MEX	MEXICO	MEX								0	190	190	19	4	-10.0	4	2	4	-3.96551724137931	0							4	Sinaloa, Tabasco, Mexico	MX	MX27	18.4917	-93.75	6226960	2	Texas, United States	US	USTX	31.106	-97.6475	TX	20170120	http://www.heraldsun.com.au/news/world/drug-kingpin-joaqun-el-chapo-guzmn-has-been-extradicted-from-mexico-to-the-us/news-story/ebd953a82deb54f7905dc249201d4b56?nk=85eb9f72b707cd6ce6c13b326954e4aa-1484869631
618859377	20170120	201701	2017	2017.0548											USA	UNITED STATES	USA								1	112	112	11	3	-2.0	1	1	1	-6.9672131147541	0							4	Ciudad Juarez, Méco, Mexico	MX	MX15	31.7333	-106.483	-1658093	3	El Paso, Texas, United States	US	USTX	31.7587	-106.487	1380946	20170120	http://timesofsandiego.com/crime/2017/01/19/drug-kingpin-el-chapo-guzman-extradited-u-s/
618859392	20170120	201701	2017	2017.0548											USA	NEW YORK	USA								1	112	112	11	3	-2.0	26	11	26	-4.23265509196406	0							2	New York, United States	US	USNY	42.1497	-74.9384	NY	4	Ciudad Juarez, Méco, Mexico	MX	MX15	31.7333	-106.483	-1658093	20170120	https://www.washingtonpost.com/world/the_americas/mexican-drug-lord-joaquin-el-chapo-guzman-extradited-to-us/2017/01/19/7e08ee38-de9a-11e6-918c-99ede3c8cafa_story.html
618859647	20170120	201701	2017	2017.0548	BUS	TRADER						BUS													0	071	071	07	2	7.4	10	1	10	-4.74631751227496	2	California, United States	US	USCA	36.17	-119.746	CA	0							4	Jammu, Jammu and Kashmir, India	IN	IN12	32.7333	74.8667	-2098228	20170120	https://news.statetimes.in/nia-scrutinising-5-bank-accounts-linked-geelani/
618859738	20170120	201701	2017	2017.0548	BUS	BUSINESS						BUS			USA	KANSAS	USA								1	042	042	04	1	1.9	1	1	1	-4.88888888888889	1	Mexico	MX	MX	23	-102	MX	2	Kansas, United States	US	USKS	38.5111	-96.8005	KS	2	Kansas, United States	US	USKS	38.5111	-96.8005	KS	20170120	http://www.kansascity.com/news/local/crime/article127458149.html
618859762	20170120	201701	2017	2017.0548	CAN	CANADA	CAN																		1	010	010	01	1	0.0	6	2	6	0.665428155487475	1	Canada	CA	CA	60	-95	CA	0							1	United States	US	US	38	-97	US	20170120	http://www.kxro.com/syndicated-article/?id=298364
618859788	20170120	201701	2017	2017.0548	CAN	CANADA	CAN																		1	193	193	19	4	-10.0	22	11	22	0.387279345481933	4	Ottawa, Ontario, Canada	CA	CA08	45.4167	-75.7	-570760	0							3	White House, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	20170120	http://www.11alive.com/news/reality-tv-star-taking-trump-inspired-politics-north-of-the-border/388409996
618859796	20170120	201701	2017	2017.0548	CAN	CANADA	CAN								CVL	SMALL TOWN						CVL			1	020	020	02	1	3.0	8	7	8	3.14910215901871	4	Fairview, Alberta, Canada	CA	CA01	56.0667	-118.4	-564450	1	United States	US	US	38	-97	US	4	Fairview, Alberta, Canada	CA	CA01	56.0667	-118.4	-564450	20170120	http://www.thetelegram.com/news/local/2017/1/19/robert-bateman-prints-part-of-735k-art-theft-in-northern-alberta.html
