643557622	20170329	201703	2017	2017.2438	BUS	BUSINESS						BUS			USA	UNITED STATES	USA								1	040	040	04	1	1.0	1	1	1	0.97087378640776	4	Vancouver, British Columbia, Canada	CA	CA02	49.25	-123.133	-575268	3	Washington, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	3	Washington, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	20170405	http://www.wgow.com/news/eric-trump-nepotism-a-factor-of-life/
643557645	20170329	201703	2017	2017.2438	USA	UNITED STATES	USA								BUS	BUSINESS						BUS			1	040	040	04	1	1.0	1	1	1	0.97087378640776	3	Washington, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	4	Vancouver, British Columbia, Canada	CA	CA02	49.25	-123.133	-575268	3	Washington, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	20170405	http://www.wgow.com/news/eric-trump-nepotism-a-factor-of-life/
643557759	20170405	201704	2017	2017.2603											CVL	COMMUNITY						CVL			1	130	130	13	3	-4.4	50	4	50	-3.56303968738933	0							1	China	CH	CH	35	105	CH	3	Washington, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	20170405	https://www.yahoo.com/news/us-military-confirms-n-korea-fired-missile-sea-232811931.html
643557760	20170405	201704	2017	2017.2603											CVL	COMMUNITY						CVL			1	130	130	13	3	-4.4	80	8	80	-3.57692695236417	0							1	China	CH	CH	35	105	CH	1	United States	US	US	38	-97	US	20170405	http://www.dailymail.co.uk/wires/afp/article-4381014/US-military-confirms-N-Korea-fired-missile-Sea-Japan.html
643557762	20170405	201704	2017	2017.2603											CVL	COMMUNITY						CVL			1	138	138	13	3	-7.0	36	5	36	-3.44034226010359	0							1	China	CH	CH	35	105	CH	3	Washington, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	20170405	https://www.yahoo.com/news/us-military-confirms-n-korea-fired-missile-sea-232811931.html
643557764	20170405	201704	2017	2017.2603											CVL	COMMUNITY						CVL			1	138	138	13	3	-7.0	62	9	62	-3.56794677026528	0							1	China	CH	CH	35	105	CH	1	United States	US	US	38	-97	US	20170405	http://www.dailymail.co.uk/wires/afp/article-4381014/US-military-confirms-N-Korea-fired-missile-Sea-Japan.html
643557816	20170405	201704	2017	2017.2603											GBR	LONDON	GBR								1	036	036	03	1	4.0	4	1	4	-1.25673249551167	0							4	London, London, City of, United Kingdom	UK	UKH9	51.5	-0.116667	-2601889	2	Utah, United States	US	USUT	40.1135	-111.854	UT	20170405	http://www.sltrib.com/home/5139150-155/utahn-widowed-and-injured-in-london
643558062	20170405	201704	2017	2017.2603											USA	UNITED STATES	USA								1	036	036	03	1	4.0	4	1	4	-1.25673249551167	0							3	Utahn, Utah, United States	US	USUT	40.2711	-110.432	1437710	4	London, London, City of, United Kingdom	UK	UKH9	51.5	-0.116667	-2601889	20170405	http://www.sltrib.com/home/5139150-155/utahn-widowed-and-injured-in-london
643558067	20170405	201704	2017	2017.2603											USA	UNITED STATES	USA								1	036	036	03	1	4.0	5	2	5	-1.64328547190937	0							3	White House, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	4	Beijing, Beijing, China	CH	CH22	39.9289	116.388	-1898541	20170405	http://www.hawaiinewsnow.com/story/35066107/us-ratchets-up-urgency-on-n-korea-ahead-of-china-visit
643558225	20170405	201704	2017	2017.2603											USA	AMERICAN	USA								0	192	192	19	4	-9.5	16	4	16	-2.65740330208647	0							1	United States	US	US	38	-97	US	4	Springfield, Fife, United Kingdom	UK	UKV1	56.2833	-3.06667	-2608458	20170405	http://etvradio.org/post/us-entered-world-war-i-american-soldiers-depended-foreign-weapons-technology
643558552	20170405	201704	2017	2017.2603	BUS	COMPANY						BUS			USA	HOUSTON	USA								1	043	043	04	1	2.8	14	1	14	1.49089922557096	1	Canada	CA	CA	60	-95	CA	3	Houston, Texas, United States	US	USTX	29.7633	-95.3633	1380948	3	Houston, Texas, United States	US	USTX	29.7633	-95.3633	1380948	20170405	http://m.chron.com/business/bizfeed/article/Target-Logistics-Management-to-move-headquarters-11050259.php
643558647	20170405	201704	2017	2017.2603	CAN	MONTREAL	CAN								NMR	NORTH AMERICA	NMR								1	057	057	05	1	8.0	2	1	2	5.06134969325154	4	Montreal, Quebec, Canada	CA	CA10	45.5	-73.5833	-569541	2	New Hampshire, United States	US	USNH	43.4108	-71.5653	NH	2	New Hampshire, United States	US	USNH	43.4108	-71.5653	NH	20170405	http://www.pressrepublican.com/news/local_news/aerospace-collaboration-formalized/article_19b2fe81-928b-53e7-beb7-727d6faf84d0.html
643558650	20170405	201704	2017	2017.2603	CAN	CANADA	CAN								USA	MICHIGAN	USA								0	042	042	04	1	1.9	7	1	7	0	1	Canada	CA	CA	60	-95	CA	2	Michigan, United States	US	USMI	43.3504	-84.5603	MI	2	Michigan, United States	US	USMI	43.3504	-84.5603	MI	20170405	http://windsorstar.com/news/local-news/canadian-auto-parts-makers-warn-u-s-on-nafta-jobs
643558651	20170405	201704	2017	2017.2603	CAN	CANADA	CAN								USA	MICHIGAN	USA								0	042	042	04	1	1.9	1	1	1	0	2	Michigan, United States	US	USMI	43.3504	-84.5603	MI	1	Mexico	MX	MX	23	-102	MX	2	Michigan, United States	US	USMI	43.3504	-84.5603	MI	20170405	http://windsorstar.com/news/local-news/canadian-auto-parts-makers-warn-u-s-on-nafta-jobs
643558652	20170405	201704	2017	2017.2603	CAN	CANADA	CAN								USA	UNITED STATES	USA								1	050	050	05	1	3.5	35	35	35	-5.39070181121074	4	Vimy, Alberta, Canada	CA	CA01	54.0667	-113.65	-575392	4	Vimy, Alberta, Canada	CA	CA01	54.0667	-113.65	-575392	1	United States	US	US	38	-97	US	20170405	https://www.tbnewswatch.com/national-news/trudeau-expected-to-visit-juno-beach-after-vimy-ridge-commemoration-580449
643558653	20170405	201704	2017	2017.2603	CAN	CANADA	CAN								USA	UNITED STATES	USA								1	050	050	05	1	3.5	70	35	70	-5.39070181121074	4	Vimy, Alberta, Canada	CA	CA01	54.0667	-113.65	-575392	1	United States	US	US	38	-97	US	1	United States	US	US	38	-97	US	20170405	https://www.tbnewswatch.com/national-news/trudeau-expected-to-visit-juno-beach-after-vimy-ridge-commemoration-580449
