616958007	20161215	201612	2016	2016.9452	USA	UNITED STATES	USA								GBR	LONDON	GBR								1	036	036	03	1	4.0	8	1	8	7.35930735930736	3	Museum Of Modern Art, New York, United States	US	USNY	40.7612	-73.9771	958207	4	London, London, City of, United Kingdom	UK	UKH9	51.5	-0.116667	-2601889	4	London, London, City of, United Kingdom	UK	UKH9	51.5	-0.116667	-2601889	20170114	http://www.londonandpartners.com/media-centre/press-releases/2017/20170113-three-of-londons-most-famous-cultural-institutions-shine-a-spotlight-on-american-art
616958453	20170114	201701	2017	2017.0384											USA	UNITED STATES	USA								1	036	036	03	1	4.0	1	1	1	3.16455696202532	0							4	Mexico City, Distrito Federal, Mexico	MX	MX09	19.4342	-99.1386	-1658079	3	White House, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	20170114	http://www.mexicostar.com/index.php/sid/250911067
616958518	20170114	201701	2017	2017.0384											USA	NEVADA	USA								1	043	043	04	1	2.8	43	5	43	-8.54586466304482	0							2	Nevada, United States	US	USNV	38.4199	-117.122	NV	1	India	IN	IN	20	77	IN	20170114	http://www.wfxg.com/story/34256630/antibiotic-resistant-superbug-kills-nevada-woman
616958548	20170114	201701	2017	2017.0384											USA	UNITED STATES	USA								1	071	071	07	2	7.4	3	1	3	0.93457943925234	0							1	United States	US	US	38	-97	US	4	Okanagan, British Columbia, Canada	CA	CA02	50.3667	-119.35	-570573	20170114	http://infotel.ca/newsitem/pumping-iron-is-good-for-the-heart-ubc-okanagan-researchers-show/it38636
616958609	20170114	201701	2017	2017.0384											USAGOV	US OFFICIAL	USA					GOV			0	010	010	01	1	0.0	40	19	40	-0.612683375554929	0							1	Mexico	MX	MX	23	-102	MX	3	Washington, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	20170114	http://www.wcoapensacola.com/news/trump-team-discussing-border-wall-with-army-corps-interior-department/
616958788	20170114	201701	2017	2017.0384	BUS	COMPANY						BUS													0	120	120	12	3	-4.0	2	1	2	-0.29563932002956	4	Toronto, Ontario, Canada	CA	CA08	43.6667	-79.4167	-574890	0							1	United States	US	US	38	-97	US	20170114	http://finance.yahoo.com/news/platinum-group-metals-reports-first-220824328.html
616958831	20170114	201701	2017	2017.0384	BUS	TYCOON						BUS			GOV	PRESIDENT						GOV			1	017	017	01	1	0.0	3	3	3	-0.183909445525707	2	Ohio, United States	US	USOH	40.3736	-82.7755	OH	4	London, London, City of, United Kingdom	UK	UKH9	51.5	-0.116667	-2601889	4	London, London, City of, United Kingdom	UK	UKH9	51.5	-0.116667	-2601889	20170114	http://saudigazette.com.sa/world/europe/fed-middle-class-backing-brexit/
616958910	20170114	201701	2017	2017.0384	CAN	CANADA	CAN								CANGOV	CANADA	CAN					GOV			0	012	012	01	1	-0.4	6	2	6	-0.390929196648283	4	Dawson Creek, British Columbia, Canada	CA	CA02	55.7667	-120.233	-563373	4	Dawson Creek, British Columbia, Canada	CA	CA02	55.7667	-120.233	-563373	1	United States	US	US	38	-97	US	20170114	http://www.alaskahighwaynews.ca/u-s-energy-market-outlook-a-sobering-read-in-gas-country-1.7303961
616958984	20170114	201701	2017	2017.0384	CHN	CHINA	CHN								USA	WASHINGTON	USA								1	010	010	01	1	0.0	199	20	199	-5.00223413363338	4	Beijing, Beijing, China	CH	CH22	39.9289	116.388	-1898541	3	Washington, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	3	Washington, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	20170114	https://www.yahoo.com/news/trump-team-struggles-cohesion-tougher-china-policy-232006436.html
616958987	20170114	201701	2017	2017.0384	CHN	BEIJING	CHN								USA	UNITED STATES	USA								0	130	130	13	3	-4.4	49	23	49	-2.211182629742	4	Beijing, Beijing, China	CH	CH22	39.9289	116.388	-1898541	1	United States	US	US	38	-97	US	4	Beijing, Beijing, China	CH	CH22	39.9289	116.388	-1898541	20170114	http://www.heraldonline.com/news/nation-world/world/article126490524.html
