624262805	20170129	201701	2017	2017.0795	CAN	MONTREAL	CAN								USA	MIAMI	USA								1	193	193	19	4	-10.0	124	14	124	-2.33571992455195	4	Montreal, Quebec, Canada	CA	CA10	45.5	-73.5833	-569541	3	Miami, Florida, United States	US	USFL	25.7743	-80.1937	295004	4	Quebec, Quebec, Canada	CA	CA10	47.5	-72	-571850	20170205	http://www.peacearchnews.com/national/412784863.html
624262850	20170205	201702	2017	2017.0959											CAN	NUNAVUT	CAN								0	010	010	01	1	0.0	4	1	4	-0.45662100456621	0							1	Canada	CA	CA	60	-95	CA	2	New York, United States	US	USNY	42.1497	-74.9384	NY	20170205	http://www.travelpulse.com/news/impacting-travel/no-arctic-sightseeing-for-these-swiss-air-passengers.html
624262856	20170205	201702	2017	2017.0959											CAN	NUNAVUT	CAN								0	042	042	04	1	1.9	4	1	4	-0.45662100456621	0							1	Canada	CA	CA	60	-95	CA	2	New York, United States	US	USNY	42.1497	-74.9384	NY	20170205	http://www.travelpulse.com/news/impacting-travel/no-arctic-sightseeing-for-these-swiss-air-passengers.html
624263247	20170205	201702	2017	2017.0959	BUS	MANUFACTURER						BUS			MEX	MEXICO	MEX								1	061	061	06	2	6.4	6	1	6	-4.05904059040591	3	White House, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	1	Mexico	MX	MX	23	-102	MX	1	Mexico	MX	MX	23	-102	MX	20170205	http://www.seattlepi.com/cars/article/Trump-s-proposed-20-percent-tariff-would-raise-10896806.php
624263267	20170205	201702	2017	2017.0959	CAN	NUNAVUT	CAN																		0	043	043	04	1	2.8	4	1	4	-0.45662100456621	1	Canada	CA	CA	60	-95	CA	0							2	New York, United States	US	USNY	42.1497	-74.9384	NY	20170205	http://www.travelpulse.com/news/impacting-travel/no-arctic-sightseeing-for-these-swiss-air-passengers.html
624263278	20170205	201702	2017	2017.0959	CAN	CANADA	CAN								AFR	AFRICA	AFR								1	190	190	19	4	-10.0	1	1	1	-7.70128354725788	4	Quebec, Quebec, Canada	CA	CA10	47.5	-72	-571850	3	Charleston, South Carolina, United States	US	USSC	32.7766	-79.9309	1221516	3	Charleston, South Carolina, United States	US	USSC	32.7766	-79.9309	1221516	20170205	https://www.thestar.com/news/canada/2017/02/04/hate-killings-leave-legacy-of-fear-and-sorrow-for-victims-families.html
624263296	20170205	201702	2017	2017.0959	CHE	SWISS	CHE								ETH	ADDIS ABABA	ETH								1	043	043	04	1	2.8	6	1	6	-0.45662100456621	2	New York, United States	US	USNY	42.1497	-74.9384	NY	1	Canada	CA	CA	60	-95	CA	1	Canada	CA	CA	60	-95	CA	20170205	http://www.travelpulse.com/news/impacting-travel/no-arctic-sightseeing-for-these-swiss-air-passengers.html
624263368	20170205	201702	2017	2017.0959	COP	POLICE						COP			USA	UNITED STATES	USA								0	173	173	17	4	-5.0	2	1	2	-3.73421197144426	1	Mexico	MX	MX	23	-102	MX	2	Florida, United States	US	USFL	27.8333	-81.717	FL	2	Florida, United States	US	USFL	27.8333	-81.717	FL	20170205	http://www.goldcoastbulletin.com.au/news/world/trump-and-the-us-legal-system-now-face-an-epic-showdown-over-executive-order-banning-refugees/news-story/d89eb4e30901272bfaa0b47b9a53aeb5?nk=02b0b70b5445cc75b2b91c7d2ae79970-1486252015
624263594	20170205	201702	2017	2017.0959	FRA	FRANCE	FRA								GBR	UNITED KINGDOM	GBR								0	080	080	08	2	5.0	6	2	6	-1.87722097996826	4	Paris, France (general), France	FR	FR00	48.8667	2.33333	-1456928	4	London, London, City of, United Kingdom	UK	UKH9	51.5	-0.116667	-2601889	2	New York, United States	US	USNY	42.1497	-74.9384	NY	20170205	http://moderntokyotimes.com/?p=6519
624263596	20170205	201702	2017	2017.0959	FRA	FRANCE	FRA								GBR	UNITED KINGDOM	GBR								0	080	080	08	2	5.0	4	2	4	-1.87722097996826	2	New York, United States	US	USNY	42.1497	-74.9384	NY	4	London, London, City of, United Kingdom	UK	UKH9	51.5	-0.116667	-2601889	2	New York, United States	US	USNY	42.1497	-74.9384	NY	20170205	http://moderntokyotimes.com/?p=6519
624263631	20170205	201702	2017	2017.0959	GBR	UNITED KINGDOM	GBR								FRA	FRANCE	FRA								0	080	080	08	2	5.0	2	2	2	-1.87722097996826	4	London, London, City of, United Kingdom	UK	UKH9	51.5	-0.116667	-2601889	4	Paris, France (general), France	FR	FR00	48.8667	2.33333	-1456928	2	New York, United States	US	USNY	42.1497	-74.9384	NY	20170205	http://moderntokyotimes.com/?p=6519
624263689	20170205	201702	2017	2017.0959	GOV	PRESIDENT						GOV													1	020	020	02	1	3.0	6	1	6	-4.05904059040591	2	Texas, United States	US	USTX	31.106	-97.6475	TX	0							1	Mexico	MX	MX	23	-102	MX	20170205	http://www.seattlepi.com/cars/article/Trump-s-proposed-20-percent-tariff-would-raise-10896806.php
624263755	20170205	201702	2017	2017.0959	GOV	PRESIDENT						GOV			CHN	CHINA	CHN								0	130	130	13	3	-4.4	35	4	35	-4.47542186353632	2	Nebraska, United States	US	USNE	41.1289	-98.2883	NE	1	China	CH	CH	35	105	CH	2	Nebraska, United States	US	USNE	41.1289	-98.2883	NE	20170205	http://www.goldcoastbulletin.com.au/news/world/how-much-longer-will-peace-hold-out/news-story/d8f648b0e46dc328970b9709f972a301?nk=985339b3c0340e8c24f1176bbce87daf-1486251987
624263781	20170205	201702	2017	2017.0959	GOV	PRESIDENT						GOV			JUD	JUDGE						JUD			0	110	110	11	3	-2.0	4	2	4	-4.25764192139738	1	Mexico	MX	MX	23	-102	MX	3	White House, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	3	White House, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	20170205	http://www.kgw.com/news/politics/national-politics/federal-judge-blocks-trumps-travel-ban-doj-to-challenge-decision/398766274
624263789	20170205	201702	2017	2017.0959	GOV	PRESIDENT						GOV			JUD	JUDGE						JUD			0	130	130	13	3	-4.4	4	2	4	-4.25764192139738	1	Mexico	MX	MX	23	-102	MX	3	White House, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	1	Mexico	MX	MX	23	-102	MX	20170205	http://www.kgw.com/news/politics/national-politics/federal-judge-blocks-trumps-travel-ban-doj-to-challenge-decision/398766274
624263930	20170205	201702	2017	2017.0959	HRV	CROATIA	HRV								EDU	SCHOOL						EDU			1	042	042	04	1	1.9	2	1	2	2.10843373493976	1	Canada	CA	CA	60	-95	CA	3	New Orleans, Louisiana, United States	US	USLA	29.9546	-90.0751	1629985	3	New Orleans, Louisiana, United States	US	USLA	29.9546	-90.0751	1629985	20170205	http://www.WAFB.com/story/34426154/co-founder-of-dragos-seafood-restaurant-passes-away-at-94
624263943	20170205	201702	2017	2017.0959	IGOWSTNAT	NATO	WST	NAT				IGO													0	138	138	13	3	-7.0	21	4	21	-4.47542186353632	1	United Kingdom	UK	UK	54	-2	UK	0							2	Nebraska, United States	US	USNE	41.1289	-98.2883	NE	20170205	http://www.goldcoastbulletin.com.au/news/world/how-much-longer-will-peace-hold-out/news-story/d8f648b0e46dc328970b9709f972a301?nk=985339b3c0340e8c24f1176bbce87daf-1486251987
624264129	20170205	201702	2017	2017.0959	JUD	LAWYER						JUD													1	020	020	02	1	3.0	157	137	157	-4.31704719942401	2	Washington, United States	US	USWA	47.3917	-121.571	WA	0							1	Mexico	MX	MX	23	-102	MX	20170205	http://www.tnonline.com/2017/feb/04/us-suspends-enforcement-travel-ban-trump-bashes-judge
624264141	20170205	201702	2017	2017.0959	JUD	LAWYER						JUD													1	172	172	17	4	-5.0	2184	313	2184	-3.99118321856498	1	Mexico	MX	MX	23	-102	MX	0							3	White House, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	20170205	http://www.tnonline.com/2017/feb/04/us-suspends-enforcement-travel-ban-trump-bashes-judge
624264144	20170205	201702	2017	2017.0959	JUD	LAWYER						JUD													1	172	172	17	4	-5.0	454	202	454	-3.96388471906057	2	Washington, United States	US	USWA	47.3917	-121.571	WA	0							1	Mexico	MX	MX	23	-102	MX	20170205	http://www.tnonline.com/2017/feb/04/us-suspends-enforcement-travel-ban-trump-bashes-judge
624264172	20170205	201702	2017	2017.0959	JUD	SUPREME COURT						JUD			MEX	MEXICO	MEX								0	190	190	19	4	-10.0	4	1	4	-3.73421197144426	3	Seattle, Washington, United States	US	USWA	47.6062	-122.332	1512650	1	Mexico	MX	MX	23	-102	MX	1	Mexico	MX	MX	23	-102	MX	20170205	http://www.goldcoastbulletin.com.au/news/world/trump-and-the-us-legal-system-now-face-an-epic-showdown-over-executive-order-banning-refugees/news-story/d89eb4e30901272bfaa0b47b9a53aeb5?nk=02b0b70b5445cc75b2b91c7d2ae79970-1486252015
