637651308	20170317	201703	2017	2017.2110											LAB	EMPLOYEE						LAB			1	040	040	04	1	1.0	2	1	2	-2.49716231555052	0							1	United States	US	US	38	-97	US	1	China	CH	CH	35	105	CH	20170317	https://www.washingtonpost.com/blogs/compost/wp/2017/03/16/trumps-budget-makes-perfect-sense-and-will-fix-america-and-i-will-tell-you-why/
637651482	20170317	201703	2017	2017.2110											USA	UNITED STATES	USA								1	043	043	04	1	2.8	22	11	22	-1.15142924281588	0							3	El Paso, Texas, United States	US	USTX	31.7587	-106.487	1380946	1	Mexico	MX	MX	23	-102	MX	20170317	http://www.wtae.com/article/long-lost-dog-found-in-nebraska-heading-home-to-new-mexico/9144000
637651491	20170317	201703	2017	2017.2110											USA	NEBRASKA	USA								1	043	043	04	1	2.8	44	11	44	-1.15142924281588	0							2	Nebraska, United States	US	USNE	41.1289	-98.2883	NE	1	Mexico	MX	MX	23	-102	MX	20170317	http://www.wtae.com/article/long-lost-dog-found-in-nebraska-heading-home-to-new-mexico/9144000
637651893	20170317	201703	2017	2017.2110	BRA	BRAZIL	BRA								USA	UNITED STATES	USA								0	130	130	13	3	-4.4	1	1	1	-1.88679245283019	4	Minas Gerais, Acre, Brazil	BR	BR01	-8.96667	-72.7833	-655150	2	New York, United States	US	USNY	42.1497	-74.9384	NY	4	Beijing, Beijing, China	CH	CH22	39.9289	116.388	-1898541	20170317	http://www.brazilsun.com/index.php/sid/252435417
637652165	20170317	201703	2017	2017.2110	CAN	CANADA	CAN								EUR	EUROPEAN	EUR								1	010	010	01	1	0.0	4	2	4	-1.37524557956778	1	Canada	CA	CA	60	-95	CA	1	United States	US	US	38	-97	US	1	Canada	CA	CA	60	-95	CA	20170317	http://www.thenownewspaper.com/national/416363264.html
637652166	20170317	201703	2017	2017.2110	CAN	CANADA	CAN								EUR	EUROPEAN	EUR								1	020	020	02	1	3.0	20	2	20	-1.37524557956778	1	Canada	CA	CA	60	-95	CA	1	United States	US	US	38	-97	US	1	Canada	CA	CA	60	-95	CA	20170317	http://www.thenownewspaper.com/national/416363264.html
637652206	20170317	201703	2017	2017.2110	CAN	CANADA	CAN								USA	UNITED STATES	USA								1	010	010	01	1	0.0	1	1	1	1.52091254752851	4	Vancouver, British Columbia, Canada	CA	CA02	49.25	-123.133	-575268	2	Georgia, United States	US	USGA	32.9866	-83.6487	GA	4	Vancouver, British Columbia, Canada	CA	CA02	49.25	-123.133	-575268	20170317	http://www.straight.com/news/882666/dragons-luxury-vancouver-condo-project-chinatown-summon-subject-intentional-chineseness
637652207	20170317	201703	2017	2017.2110	CAN	CANADA	CAN								USA	UNITED STATES	USA								1	010	010	01	1	0.0	1	1	1	1.52091254752851	4	Vancouver, British Columbia, Canada	CA	CA02	49.25	-123.133	-575268	2	Georgia, United States	US	USGA	32.9866	-83.6487	GA	2	Georgia, United States	US	USGA	32.9866	-83.6487	GA	20170317	http://www.straight.com/news/882666/dragons-luxury-vancouver-condo-project-chinatown-summon-subject-intentional-chineseness
637652209	20170317	201703	2017	2017.2110	CAN	CANADA	CAN								USA	AMERICAN	USA								1	010	010	01	1	0.0	4	2	4	-1.37524557956778	1	Canada	CA	CA	60	-95	CA	1	United States	US	US	38	-97	US	1	Canada	CA	CA	60	-95	CA	20170317	http://www.thenownewspaper.com/national/416363264.html
637652211	20170317	201703	2017	2017.2110	CAN	CANADA	CAN								USA	UNITED STATES	USA								0	040	040	04	1	1.0	48	24	48	0.570068588931107	4	Toronto, Ontario, Canada	CA	CA08	43.6667	-79.4167	-574890	2	New York, United States	US	USNY	42.1497	-74.9384	NY	4	Toronto, Ontario, Canada	CA	CA08	43.6667	-79.4167	-574890	20170317	http://www.interior-news.com/national/416380464.html
637652213	20170317	201703	2017	2017.2110	CAN	CANADA	CAN								USA	AMERICAN	USA								0	042	042	04	1	1.9	4	1	4	-2.25117419710603	4	Toronto, Ontario, Canada	CA	CA08	43.6667	-79.4167	-574890	3	White House, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	4	Toronto, Ontario, Canada	CA	CA08	43.6667	-79.4167	-574890	20170317	http://www.castanet.net/edition/news-story-191872-4-.htm
