624486201	20170206	201702	2017	2017.0986	EDU	COLLEGE						EDU			CAN	CANADA	CAN								0	071	071	07	2	7.4	3	1	3	-6.02409638554217	1	United States	US	US	38	-97	US	1	Canada	CA	CA	60	-95	CA	1	Canada	CA	CA	60	-95	CA	20170206	http://www.benzinga.com/pressreleases/17/02/b8996088/the-american-college-of-trial-lawyers-issues-statement-opposing-the-rec
624486202	20170206	201702	2017	2017.0986	EDU	COLLEGE						EDU			CAN	CANADA	CAN								0	071	071	07	2	7.4	1	1	1	-6.02409638554217	1	United States	US	US	38	-97	US	1	United States	US	US	38	-97	US	1	Canada	CA	CA	60	-95	CA	20170206	http://www.benzinga.com/pressreleases/17/02/b8996088/the-american-college-of-trial-lawyers-issues-statement-opposing-the-rec
624486223	20170206	201702	2017	2017.0986	EDU	UNIVERSITY						EDU			JUD	JUDGE						JUD			0	112	112	11	3	-2.0	165	52	165	-4.8976843157012	1	Mexico	MX	MX	23	-102	MX	2	Indiana, United States	US	USIN	39.8647	-86.2604	IN	2	Indiana, United States	US	USIN	39.8647	-86.2604	IN	20170206	http://www.wxyz.com/news/national/trump-if-something-happens-blame-the-judge
624486903	20170206	201702	2017	2017.0986	ISR	ISRAELI	ISR								JUD	SUPREME COURT						JUD			0	130	130	13	3	-4.4	28	27	28	-2.13158230316891	3	White House, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	4	London, London, City of, United Kingdom	UK	UKH9	51.5	-0.116667	-2601889	3	White House, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	20170206	http://www.thecourierexpress.com/news/national_world/despite-white-house-warning-israel-pushes-settlement-bill/article_3e638428-7127-54a6-bcef-c89e246b4544.html
624486960	20170206	201702	2017	2017.0986	JPN	JAPANESE	JPN								JPNBUS	JAPAN	JPN					BUS			0	061	061	06	2	6.4	1	1	1	0	2	Alaska, United States	US	USAK	61.385	-152.268	AK	1	Canada	CA	CA	60	-95	CA	1	Australia	AS	AS	-27	133	AS	20170206	http://www.hellenicshippingnews.com/eia-japan-oil-market-overview/
624487073	20170206	201702	2017	2017.0986	JUD	APPEALS COURT						JUD			USA	UNITED STATES	USA								1	172	172	17	4	-5.0	2	1	2	-2.01005025125628	1	Mexico	MX	MX	23	-102	MX	1	United States	US	US	38	-97	US	1	United States	US	US	38	-97	US	20170206	http://www.wzzm13.com/news/politics/national-politics/for-another-weekend-protestors-rally-against-trumps-order-at-ford-airport/399197081
624487839	20170206	201702	2017	2017.0986	USA	UNITED STATES	USA																		1	112	112	11	3	-2.0	46	46	46	-4.88128336359964	1	Mexico	MX	MX	23	-102	MX	0							3	Washington, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	20170206	http://www.1090kaay.com/news/trump-if-something-happens-blame-the-judge/
624487901	20170206	201702	2017	2017.0986	USA	CALIFORNIA	USA								CAN	CANADA	CAN								1	128	128	12	3	-5.0	20	5	20	0.949554896142432	2	California, United States	US	USCA	36.17	-119.746	CA	1	Canada	CA	CA	60	-95	CA	2	Tennessee, United States	US	USTN	35.7449	-86.7489	TN	20170206	http://www.wdsu.com/article/your-credit-card-data-is-at-risk-if-you-stayed-at-these-popular-hotels-last-year/8678412
624487902	20170206	201702	2017	2017.0986	USA	TENNESSEE	USA								CAN	CANADA	CAN								1	128	128	12	3	-5.0	5	5	5	0.949554896142432	2	Tennessee, United States	US	USTN	35.7449	-86.7489	TN	1	Canada	CA	CA	60	-95	CA	2	Tennessee, United States	US	USTN	35.7449	-86.7489	TN	20170206	http://www.wdsu.com/article/your-credit-card-data-is-at-risk-if-you-stayed-at-these-popular-hotels-last-year/8678412
624488026	20170206	201702	2017	2017.0986	USA	UNITED STATES	USA								JUD	JUDGE						JUD			1	112	112	11	3	-2.0	43	43	43	-4.86506694666189	2	Indiana, United States	US	USIN	39.8647	-86.2604	IN	1	Mexico	MX	MX	23	-102	MX	2	Indiana, United States	US	USIN	39.8647	-86.2604	IN	20170206	http://www.1090kaay.com/news/trump-if-something-happens-blame-the-judge/
624488027	20170206	201702	2017	2017.0986	USA	UNITED STATES	USA								JUD	JUDGE						JUD			1	112	112	11	3	-2.0	67	66	67	-4.79773786536723	1	Mexico	MX	MX	23	-102	MX	3	White House, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	3	Washington, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	20170206	http://www.1090kaay.com/news/trump-if-something-happens-blame-the-judge/
624488028	20170206	201702	2017	2017.0986	USA	UNITED STATES	USA								JUD	JUDGE						JUD			1	112	112	11	3	-2.0	18	18	18	-5.09169304989592	1	Mexico	MX	MX	23	-102	MX	3	White House, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	2	Florida, United States	US	USFL	27.8333	-81.717	FL	20170206	http://www.krcrtv.com/news/politics/trump-if-something-happens-blame-the-judge/312433762
624488032	20170206	201702	2017	2017.0986	USA	UNITED STATES	USA								JUDGOV	JUDGE						JUD	GOV		1	112	112	11	3	-2.0	11	11	11	-5.09915014164306	1	Mexico	MX	MX	23	-102	MX	3	White House, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	3	White House, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	20170206	http://www.krcrtv.com/news/politics/trump-if-something-happens-blame-the-judge/312433762
624488060	20170206	201702	2017	2017.0986	USA	INDIANA	USA								MEX	MEXICAN	MEX								0	112	112	11	3	-2.0	456	101	456	-4.82967280222271	2	Indiana, United States	US	USIN	39.8647	-86.2604	IN	1	Mexico	MX	MX	23	-102	MX	1	Mexico	MX	MX	23	-102	MX	20170206	http://www.1090kaay.com/news/trump-if-something-happens-blame-the-judge/
624488064	20170206	201702	2017	2017.0986	USA	UNITED STATES	USA								MIL	BORDER SECURITY						MIL			0	150	150	15	4	-7.2	6	6	6	-2.68795851194471	1	Mexico	MX	MX	23	-102	MX	3	Washington, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	3	Washington, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	20170206	http://www.dailynews.com/social-affairs/20170205/building-trumps-wall-6-things-to-know-about-the-us-mexico-border
624488149	20170206	201702	2017	2017.0986	USA	UNITED STATES	USA								USAPRI	PUERTO RICO	USA								1	128	128	12	3	-5.0	10	5	10	0.949554896142432	2	California, United States	US	USCA	36.17	-119.746	CA	1	Canada	CA	CA	60	-95	CA	2	Tennessee, United States	US	USTN	35.7449	-86.7489	TN	20170206	http://www.wdsu.com/article/your-credit-card-data-is-at-risk-if-you-stayed-at-these-popular-hotels-last-year/8678412
624488200	20170206	201702	2017	2017.0986	USAGOV	THE WHITE HOUSE	USA					GOV			GOV	ADMINISTRATION						GOV			1	111	111	11	3	-2.0	20	19	20	-4.64730652505799	2	Indiana, United States	US	USIN	39.8647	-86.2604	IN	1	Mexico	MX	MX	23	-102	MX	1	Mexico	MX	MX	23	-102	MX	20170206	http://www.wxyz.com/news/national/trump-if-something-happens-blame-the-judge
624488201	20170206	201702	2017	2017.0986	USAGOV	THE WHITE HOUSE	USA					GOV			GOV	ADMINISTRATION						GOV			1	111	111	11	3	-2.0	20	19	20	-4.64730652505799	1	Mexico	MX	MX	23	-102	MX	1	Mexico	MX	MX	23	-102	MX	3	White House, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	20170206	http://www.wxyz.com/news/national/trump-if-something-happens-blame-the-judge
624488222	20170206	201702	2017	2017.0986	USAGOV	UNITED STATES	USA					GOV			USA	UNITED STATES	USA								1	090	090	09	2	-2.0	1	1	1	-1.63098878695209	4	Paris, France (general), France	FR	FR00	48.8667	2.33333	-1456928	1	China	CH	CH	35	105	CH	2	California, United States	US	USCA	36.17	-119.746	CA	20170206	http://www.johnsoncitypress.com/Nation/2017/02/05/Unpredictable-Trump-foreign-policy-may-test-US-spy-alliances.html
624489256	20170206	201702	2017	2017.0986	CAN	CANADA	CAN								LUXGOV	JEAN CLAUDE JUNCKER	LUX					GOV			0	010	010	01	1	0.0	16	8	16	-5.14050180546879	1	Canada	CA	CA	60	-95	CA	4	Bucharest, Bucuresti, Romania	RO	RO10	44.4333	26.1	-1153951	1	United States	US	US	38	-97	US	20170206	http://www.yourbasin.com/news/after-protests-romania-scraps-proposed-corruption-bill/650001981
624489257	20170206	201702	2017	2017.0986	CAN	CANADA	CAN								LUXGOV	JEAN CLAUDE JUNCKER	LUX					GOV			0	010	010	01	1	0.0	32	8	32	-5.14050180546879	1	Canada	CA	CA	60	-95	CA	1	United States	US	US	38	-97	US	1	United States	US	US	38	-97	US	20170206	http://www.yourbasin.com/news/after-protests-romania-scraps-proposed-corruption-bill/650001981
624489478	20170206	201702	2017	2017.0986	DEU	GERMANY	DEU								ROU	ROMANIA									0	010	010	01	1	0.0	4	2	4	-5.85801381777873	1	Canada	CA	CA	60	-95	CA	4	Bucharest, Bucuresti, Romania	RO	RO10	44.4333	26.1	-1153951	1	United States	US	US	38	-97	US	20170206	http://www.yourbasin.com/news/after-protests-romania-scraps-proposed-corruption-bill/650001981
624489616	20170206	201702	2017	2017.0986	FRA	CHAMPAGNE	FRA								CANGOV	CANADA	CAN					GOV			1	036	036	03	1	4.0	1	1	1	1.03359173126615	4	Ottawa, Ontario, Canada	CA	CA08	45.4167	-75.7	-570760	4	Ottawa, Ontario, Canada	CA	CA08	45.4167	-75.7	-570760	1	United States	US	US	38	-97	US	20170206	http://www.theglobeandmail.com/opinion/editorials/globe-editorial-in-the-era-of-trump-canada-has-to-be-more-trade-focused-than-ever/article33905709/
624489622	20170206	201702	2017	2017.0986	FRA	CHAMPAGNE	FRA								GOV	PRESIDENT						GOV			1	036	036	03	1	4.0	1	1	1	1.03359173126615	1	United States	US	US	38	-97	US	4	Ottawa, Ontario, Canada	CA	CA08	45.4167	-75.7	-570760	4	Ottawa, Ontario, Canada	CA	CA08	45.4167	-75.7	-570760	20170206	http://www.theglobeandmail.com/opinion/editorials/globe-editorial-in-the-era-of-trump-canada-has-to-be-more-trade-focused-than-ever/article33905709/
624489625	20170206	201702	2017	2017.0986	FRA	FRANCE	FRA								LUXGOV	JEAN CLAUDE JUNCKER	LUX					GOV			0	010	010	01	1	0.0	16	8	16	-5.14050180546879	1	Canada	CA	CA	60	-95	CA	1	United States	US	US	38	-97	US	1	United States	US	US	38	-97	US	20170206	http://www.yourbasin.com/news/after-protests-romania-scraps-proposed-corruption-bill/650001981
