639553017	20170323	201703	2017	2017.2274	BUS	COMPANY						BUS			CAN	CANADIAN	CAN								1	010	010	01	1	0.0	2	1	2	-0.73529411764706	3	Washington, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	4	Toronto, Ontario, Canada	CA	CA08	43.6667	-79.4167	-574890	3	Washington, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	20170323	http://www.einnews.com/pr_news/372378362/centerra-gold-files-technical-report-for-mount-milligan-mine
639553074	20170323	201703	2017	2017.2274	BUS	COMPANIES						BUS			USA	UNITED STATES	USA								1	051	051	05	1	3.4	1	1	1	-2.48933143669985	1	Mexico	MX	MX	23	-102	MX	2	Texas, United States	US	USTX	31.106	-97.6475	TX	1	Mexico	MX	MX	23	-102	MX	20170323	http://www.nrn.com/chef-insights/lack-skilled-immigrant-labor-could-cause-higher-food-prices
639553143	20170323	201703	2017	2017.2274	CAN	CANADA	CAN								EDU	COLLEGE						EDU			0	042	042	04	1	1.9	4	2	4	0.86331908346936	4	Toronto, Ontario, Canada	CA	CA08	43.6667	-79.4167	-574890	2	Virginia, United States	US	USVA	37.768	-78.2057	VA	4	Toronto, Ontario, Canada	CA	CA08	43.6667	-79.4167	-574890	20170323	http://nypost.com/2017/03/22/internet-stalking-reunited-these-high-school-sweethearts/
639553153	20170323	201703	2017	2017.2274	CAN	CANADA	CAN								GOV	PRESIDENT						GOV			1	012	012	01	1	-0.4	74	36	74	-3.32202094850101	4	Toronto, Ontario, Canada	CA	CA08	43.6667	-79.4167	-574890	3	Washington, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	4	Toronto, Ontario, Canada	CA	CA08	43.6667	-79.4167	-574890	20170323	http://www.timesdaily.com/business/ap-fact-check-trump-and-his-unachieved-achievements/article_8e5db3a9-117f-5fd7-8b17-c6591eb48f3b.html
639553175	20170323	201703	2017	2017.2274	CAN	CANADA	CAN								USA	UNITED STATES	USA								0	036	036	03	1	4.0	2	2	2	0.86331908346936	4	Toronto, Ontario, Canada	CA	CA08	43.6667	-79.4167	-574890	3	Brooklyn, New York, United States	US	USNY	42.3442	-75.1704	944840	4	Toronto, Ontario, Canada	CA	CA08	43.6667	-79.4167	-574890	20170323	http://nypost.com/2017/03/22/internet-stalking-reunited-these-high-school-sweethearts/
639553176	20170323	201703	2017	2017.2274	CAN	TORONTO	CAN								USA	UNITED STATES	USA								1	040	040	04	1	1.0	4	1	4	3.46534653465346	4	Toronto, Ontario, Canada	CA	CA08	43.6667	-79.4167	-574890	3	Laurel Hill, Washington, United States	US	USWA	46.6984	-121.538	1521939	3	Laurel Hill, Washington, United States	US	USWA	46.6984	-121.538	1521939	20170323	http://www.einnews.com/pr_news/372372852/lexam-shareholders-please-vote-your-shares-now
639553177	20170323	201703	2017	2017.2274	CAN	CANADA	CAN								USA	UNITED STATES	USA								0	051	051	05	1	3.4	5	5	5	-1.51083228080786	4	Quebec, Quebec, Canada	CA	CA10	47.5	-72	-571850	3	Plattsburgh, New York, United States	US	USNY	44.6995	-73.4529	960698	3	Plattsburgh, New York, United States	US	USNY	44.6995	-73.4529	960698	20170323	http://news.trust.org/item/20170322234949-4xml9
639553178	20170323	201703	2017	2017.2274	CAN	CANADA	CAN								USA	UNITED STATES	USA								0	051	051	05	1	3.4	6	6	6	-1.53091379572487	4	Quebec, Quebec, Canada	CA	CA10	47.5	-72	-571850	2	New York, United States	US	USNY	42.1497	-74.9384	NY	4	Quebec, Quebec, Canada	CA	CA10	47.5	-72	-571850	20170323	http://news.trust.org/item/20170322234949-4xml9
639553231	20170323	201703	2017	2017.2274	CHN	CHINA	CHN								ECU	GALAPAGOS ISLANDS	ECU								1	160	160	16	4	-4.0	32	16	32	-0.307720256466188	1	China	CH	CH	35	105	CH	3	Washington, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	1	China	CH	CH	35	105	CH	20170323	http://www.mymix1061.com/news/jeff-bezos-fast-facts/
639553376	20170323	201703	2017	2017.2274	COP	POLICE OFFICER						COP													1	120	120	12	3	-4.0	1	1	1	-5.77777777777777	3	Washington, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	0							4	London, London, City of, United Kingdom	UK	UKH9	51.5	-0.116667	-2601889	20170323	http://www.starbeacon.com/news/at-least-killed-including-assailant-in-attack-outside-british-parliament/article_6f3e6d7a-0f3b-11e7-ab5a-8719f08e0dbf.html
639553492	20170323	201703	2017	2017.2274	COP	POLICE						COP			LEG	PARLIAMENT						LEG			0	010	010	01	1	0.0	30	15	30	-6.53415231499843	4	London, London, City of, United Kingdom	UK	UKH9	51.5	-0.116667	-2601889	2	New York, United States	US	USNY	42.1497	-74.9384	NY	2	New York, United States	US	USNY	42.1497	-74.9384	NY	20170323	http://abc11.com/news/donald-trump-jr-criticizes-london-mayor-following-attacks/1813681/
639553493	20170323	201703	2017	2017.2274	COP	POLICE						COP			LEG	LAWMAKER						LEG			0	010	010	01	1	0.0	92	23	92	-6.37209764202134	3	White House, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	4	London, London, City of, United Kingdom	UK	UKH9	51.5	-0.116667	-2601889	4	London, London, City of, United Kingdom	UK	UKH9	51.5	-0.116667	-2601889	20170323	http://www.wect.com/story/34972209/the-latest-police-says-5-people-died-in-london-attack
639553586	20170323	201703	2017	2017.2274	CRM	ASSAILANT						CRM			LEG	CHAMBER						LEG			0	190	190	19	4	-10.0	1	1	1	-6.28930817610063	4	London, London, City of, United Kingdom	UK	UKH9	51.5	-0.116667	-2601889	3	White House, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	3	White House, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	20170323	http://www.reviewjournal.com/news/nation-and-world/5-people-dead-terrorist-attack-british-parliament
639553778	20170323	201703	2017	2017.2274	DEU	GERMAN	DEU								NORGOV	JENS STOLTENBERG	NOR					GOV			0	012	012	01	1	-0.4	2	1	2	-6.28930817610063	4	London, London, City of, United Kingdom	UK	UKH9	51.5	-0.116667	-2601889	4	London, London, City of, United Kingdom	UK	UKH9	51.5	-0.116667	-2601889	3	White House, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	20170323	http://www.reviewjournal.com/news/nation-and-world/5-people-dead-terrorist-attack-british-parliament
