628344104	20160218	201602	2016	2016.1315	MEX	MEXICO	MEX								USA	UNITED STATES	USA								0	192	192	19	4	-9.5	57	57	57	-0.784782788761123	1	Mexico	MX	MX	23	-102	MX	2	California, United States	US	USCA	36.17	-119.746	CA	1	Mexico	MX	MX	23	-102	MX	20170217	http://wprl.org/post/why-ditching-nafta-could-hurt-americas-farmers-more-mexicos
628344143	20170118	201701	2017	2017.0493	CHNGOV	XI JINPING	CHN					GOV			BUS	BUSINESS						BUS			1	042	042	04	1	1.9	2	1	2	-4.27480916030534	2	California, United States	US	USCA	36.17	-119.746	CA	1	China	CH	CH	35	105	CH	2	California, United States	US	USCA	36.17	-119.746	CA	20170217	http://www.denverpost.com/2017/02/16/trumps-trade-deals-anxiety/
628344158	20170118	201701	2017	2017.0493	MNCUSA	MATTEL	USA					MNC			NMR	NORTH AMERICA	NMR								1	190	190	19	4	-10.0	91	13	91	0	1	China	CH	CH	35	105	CH	1	United States	US	US	38	-97	US	1	United States	US	US	38	-97	US	20170217	https://www.nytimes.com/reuters/2017/02/16/technology/16reuters-mattel-babytree.html
628344159	20170118	201701	2017	2017.0493	MNCUSA	MATTEL	USA					MNC			USA	UNITED STATES	USA								1	190	190	19	4	-10.0	90	13	90	0	1	China	CH	CH	35	105	CH	1	United States	US	US	38	-97	US	1	United States	US	US	38	-97	US	20170217	https://www.nytimes.com/reuters/2017/02/16/technology/16reuters-mattel-babytree.html
628344160	20170118	201701	2017	2017.0493	NMR	NORTH AMERICA	NMR								MNCUSA	MATTEL	USA					MNC			1	190	190	19	4	-10.0	94	14	94	-0.0318066157760814	1	United States	US	US	38	-97	US	1	China	CH	CH	35	105	CH	1	United States	US	US	38	-97	US	20170217	https://www.nytimes.com/reuters/2017/02/16/technology/16reuters-mattel-babytree.html
628344161	20170118	201701	2017	2017.0493	USA	UNITED STATES	USA								MNCUSA	MATTEL	USA					MNC			1	190	190	19	4	-10.0	92	14	92	-0.0318066157760814	1	United States	US	US	38	-97	US	1	China	CH	CH	35	105	CH	1	United States	US	US	38	-97	US	20170217	https://www.nytimes.com/reuters/2017/02/16/technology/16reuters-mattel-babytree.html
628344317	20170217	201702	2017	2017.1288											CAN	CANADA	CAN								1	112	112	11	3	-2.0	18	9	18	-3.88291222895942	0							4	Calgary, Alberta, Canada	CA	CA01	51.0833	-114.083	-561990	3	San Francisco, California, United States	US	USCA	37.7749	-122.419	277593	20170217	http://www.680news.com/2017/02/16/the-thursday-news-briefing-an-at-a-glance-survey-of-some-top-stories-26/
628344401	20170217	201702	2017	2017.1288											CVL	IMMIGRANT						CVL			0	141	141	14	3	-6.5	2	1	2	-1.11607142857142	0							2	California, United States	US	USCA	36.17	-119.746	CA	4	Las Americas, Sinaloa, Mexico	MX	MX25	25.5833	-108.3	-1677338	20170217	http://www.goshennews.com/news/local_news/some-goshen-businesses-remain-open-during-day-without-immigrants/article_a175e620-6dfc-5d5a-904f-38489350f801.html
628344546	20170217	201702	2017	2017.1288											HINAST700	YOGA				HIN					0	042	042	04	1	1.9	2	1	2	1.85528756957329	0							1	India	IN	IN	20	77	IN	2	New York, United States	US	USNY	42.1497	-74.9384	NY	20170217	http://www.yogajournal.com/slideshow/iyengar-yoga-101-king-pigeon-pose-3-ways/
628344833	20170217	201702	2017	2017.1288											USA	UNITED STATES	USA								1	046	046	04	1	7.0	2	1	2	-1.21212121212122	0							3	Calvary Cemetery, Ohio, United States	US	USOH	41.6562	-83.5977	1038627	1	Canada	CA	CA	60	-95	CA	20170217	http://www.morningjournal.com/general-news/20170216/funeral-procession-for-retired-elyria-firefighter-and-sheffield-township-trustee-mark-horton
628345218	20170217	201702	2017	2017.1288	BUS	COMPANY						BUS													0	010	010	01	1	0.0	2	1	2	3.08422301304864	1	United States	US	US	38	-97	US	0							4	Montreal, Quebec, Canada	CA	CA10	45.5	-73.5833	-569541	20170217	http://www.so-co-it.com/post/524755/mobi724-global-solutions-cse-mos-invites-current-and-future-investors-to-a-webinar-for-a-material-management-update.html
628345239	20170217	201702	2017	2017.1288	BUS	BOSS						BUS													0	030	030	03	1	4.0	30	30	30	-1.37512412549576	4	Mexico City, Distrito Federal, Mexico	MX	MX09	19.4342	-99.1386	-1658079	0							3	Dallas, Texas, United States	US	USTX	32.7831	-96.8067	1380944	20170217	http://www.wcvb.com/article/nationwide-day-without-immigrants-shuts-down-businesses/8943561
628345355	20170217	201702	2017	2017.1288	BUS	INVESTOR						BUS			MED	MEDIA						MED			1	010	010	01	1	0.0	4	2	4	-3.07437904967603	2	New York, United States	US	USNY	42.1497	-74.9384	NY	4	Bengaluru, Karnataka, India	IN	IN19	12.9833	77.5833	-2090174	2	New York, United States	US	USNY	42.1497	-74.9384	NY	20170217	http://www.4-traders.com/SONY-CORP-6492482/news/Snap-lowers-valuation-expectations-in-highly-awaited-IPO-23888494/
628345476	20170217	201702	2017	2017.1288	CAN	CANADIAN	CAN								GOV	GOVERNMENT						GOV			1	020	020	02	1	3.0	5	5	5	1.57232704402515	1	Canada	CA	CA	60	-95	CA	3	Washington, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	1	Canada	CA	CA	60	-95	CA	20170217	http://www.abbynews.com/business/413985563.html
628345482	20170217	201702	2017	2017.1288	CAN	CANADIAN	CAN								GOV	GOVERNMENT						GOV			1	036	036	03	1	4.0	30	6	30	1.6524035239799	1	Canada	CA	CA	60	-95	CA	3	Washington, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	1	Canada	CA	CA	60	-95	CA	20170217	http://www.abbynews.com/business/413985563.html
628345493	20170217	201702	2017	2017.1288	CAN	CANADA	CAN								IGOWSTNAT	NATO	WST	NAT				IGO			1	036	036	03	1	4.0	24	9	24	0	1	United States	US	US	38	-97	US	4	Ottawa, Ontario, Canada	CA	CA08	45.4167	-75.7	-570760	4	Ottawa, Ontario, Canada	CA	CA08	45.4167	-75.7	-570760	20170217	http://winnipeg.ctvnews.ca/canada-to-spend-more-on-defence-sajjan-says-but-non-committal-on-nato-1.3288837
628345496	20170217	201702	2017	2017.1288	CAN	CANADA	CAN								IGOWSTNAT	NATO	WST	NAT				IGO			0	040	040	04	1	1.0	6	3	6	-3.96234364413776	4	Calgary, Alberta, Canada	CA	CA01	51.0833	-114.083	-561990	3	Washington, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	3	Washington, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	20170217	http://www.capebretonpost.com/news/regional/2017/2/16/the-thursday-news-briefing-an-at-a-glance-survey-of-some-top-stories.html
628345508	20170217	201702	2017	2017.1288	CAN	CANADA	CAN								USA	UNITED STATES	USA								0	020	020	02	1	3.0	1	1	1	1.18733509234829	4	Ottawa, Ontario, Canada	CA	CA08	45.4167	-75.7	-570760	4	Ottawa, Ontario, Canada	CA	CA08	45.4167	-75.7	-570760	3	Washington, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	20170217	http://www.producer.com/2017/02/trudeau-trump-relationship-begins-on-cordial-grounds/
628345509	20170217	201702	2017	2017.1288	CAN	CANADA	CAN								USA	UNITED STATES	USA								0	020	020	02	1	3.0	3	1	3	1.18733509234829	4	Ottawa, Ontario, Canada	CA	CA08	45.4167	-75.7	-570760	3	Washington, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	3	Washington, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	20170217	http://www.producer.com/2017/02/trudeau-trump-relationship-begins-on-cordial-grounds/
628345513	20170217	201702	2017	2017.1288	CAN	CANADA	CAN								USA	WASHINGTON	USA								0	042	042	04	1	1.9	18	9	18	-3.88291222895942	4	Calgary, Alberta, Canada	CA	CA01	51.0833	-114.083	-561990	3	Washington, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	4	Calgary, Alberta, Canada	CA	CA01	51.0833	-114.083	-561990	20170217	http://www.680news.com/2017/02/16/the-thursday-news-briefing-an-at-a-glance-survey-of-some-top-stories-26/
628345515	20170217	201702	2017	2017.1288	CAN	CANADA	CAN								USA	UNITED STATES	USA								1	042	042	04	1	1.9	2	1	2	-1.21212121212122	3	Columbus, Ohio, United States	US	USOH	39.9612	-82.9988	1080996	3	Columbus, Ohio, United States	US	USOH	39.9612	-82.9988	1080996	1	Canada	CA	CA	60	-95	CA	20170217	http://www.morningjournal.com/general-news/20170216/funeral-procession-for-retired-elyria-firefighter-and-sheffield-township-trustee-mark-horton
628345516	20170217	201702	2017	2017.1288	CAN	CANADA	CAN								USA	UNITED STATES	USA								1	042	042	04	1	1.9	6	1	6	-1.21212121212122	1	Canada	CA	CA	60	-95	CA	3	Columbus, Ohio, United States	US	USOH	39.9612	-82.9988	1080996	1	Canada	CA	CA	60	-95	CA	20170217	http://www.morningjournal.com/general-news/20170216/funeral-procession-for-retired-elyria-firefighter-and-sheffield-township-trustee-mark-horton
