619999548	20161225	201612	2016	2016.9726											MED	SPOKESMAN						MED			0	036	036	03	1	4.0	34	9	34	0.889750481154747	0							3	White House, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	1	Mexico	MX	MX	23	-102	MX	20170124	http://www.chroniclejournal.com/news/national/canada-needn-t-be-enormously-worried-about-u-s-trade/article_b38f6219-7357-5e86-a794-2b88a1efc14b.html
619999550	20161225	201612	2016	2016.9726											USAMED	UNITED STATES	USA					MED			0	036	036	03	1	4.0	34	9	34	0.889750481154747	0							3	White House, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	1	Mexico	MX	MX	23	-102	MX	20170124	http://www.chroniclejournal.com/news/national/canada-needn-t-be-enormously-worried-about-u-s-trade/article_b38f6219-7357-5e86-a794-2b88a1efc14b.html
619999553	20161225	201612	2016	2016.9726	CAN	CANADA	CAN								USAMED	UNITED STATES	USA					MED			0	036	036	03	1	4.0	14	7	14	0.911237048223097	4	Ottawa, Ontario, Canada	CA	CA08	45.4167	-75.7	-570760	3	White House, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	4	Ottawa, Ontario, Canada	CA	CA08	45.4167	-75.7	-570760	20170124	http://www.chroniclejournal.com/news/national/canada-needn-t-be-enormously-worried-about-u-s-trade/article_b38f6219-7357-5e86-a794-2b88a1efc14b.html
619999554	20161225	201612	2016	2016.9726	CAN	CANADA	CAN								USAMED	UNITED STATES	USA					MED			0	036	036	03	1	4.0	16	8	16	0.842001863294079	1	Mexico	MX	MX	23	-102	MX	3	White House, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	4	Ottawa, Ontario, Canada	CA	CA08	45.4167	-75.7	-570760	20170124	http://www.chroniclejournal.com/news/national/canada-needn-t-be-enormously-worried-about-u-s-trade/article_b38f6219-7357-5e86-a794-2b88a1efc14b.html
619999573	20161225	201612	2016	2016.9726	MED	SPOKESMAN						MED													0	036	036	03	1	4.0	2	1	2	1.05263157894737	3	White House, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	0							1	Mexico	MX	MX	23	-102	MX	20170124	http://www.chroniclejournal.com/news/national/canada-needn-t-be-enormously-worried-about-u-s-trade/article_b38f6219-7357-5e86-a794-2b88a1efc14b.html
619999576	20161225	201612	2016	2016.9726	MEX	MEXICAN	MEX								USAMED	UNITED STATES	USA					MED			0	036	036	03	1	4.0	12	6	12	0.838711684779252	4	Ottawa, Ontario, Canada	CA	CA08	45.4167	-75.7	-570760	3	White House, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	4	Ottawa, Ontario, Canada	CA	CA08	45.4167	-75.7	-570760	20170124	http://www.chroniclejournal.com/news/national/canada-needn-t-be-enormously-worried-about-u-s-trade/article_b38f6219-7357-5e86-a794-2b88a1efc14b.html
619999577	20161225	201612	2016	2016.9726	MEX	MEXICAN	MEX								USAMED	UNITED STATES	USA					MED			0	036	036	03	1	4.0	18	8	18	0.842001863294079	1	Mexico	MX	MX	23	-102	MX	3	White House, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	4	Ottawa, Ontario, Canada	CA	CA08	45.4167	-75.7	-570760	20170124	http://www.chroniclejournal.com/news/national/canada-needn-t-be-enormously-worried-about-u-s-trade/article_b38f6219-7357-5e86-a794-2b88a1efc14b.html
619999592	20161225	201612	2016	2016.9726	USAMED	UNITED STATES	USA					MED													0	036	036	03	1	4.0	2	1	2	1.05263157894737	3	White House, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	0							1	Mexico	MX	MX	23	-102	MX	20170124	http://www.chroniclejournal.com/news/national/canada-needn-t-be-enormously-worried-about-u-s-trade/article_b38f6219-7357-5e86-a794-2b88a1efc14b.html
619999593	20161225	201612	2016	2016.9726	USAMED	UNITED STATES	USA					MED			CAN	CANADA	CAN								0	020	020	02	1	3.0	28	7	28	0.911237048223097	3	White House, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	4	Ottawa, Ontario, Canada	CA	CA08	45.4167	-75.7	-570760	4	Ottawa, Ontario, Canada	CA	CA08	45.4167	-75.7	-570760	20170124	http://www.chroniclejournal.com/news/national/canada-needn-t-be-enormously-worried-about-u-s-trade/article_b38f6219-7357-5e86-a794-2b88a1efc14b.html
619999594	20161225	201612	2016	2016.9726	USAMED	UNITED STATES	USA					MED			CAN	CANADA	CAN								0	036	036	03	1	4.0	16	8	16	0.613508887783445	3	White House, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	4	Ottawa, Ontario, Canada	CA	CA08	45.4167	-75.7	-570760	4	Ottawa, Ontario, Canada	CA	CA08	45.4167	-75.7	-570760	20170124	http://www.chroniclejournal.com/news/national/canada-needn-t-be-enormously-worried-about-u-s-trade/article_b38f6219-7357-5e86-a794-2b88a1efc14b.html
619999595	20161225	201612	2016	2016.9726	USAMED	UNITED STATES	USA					MED			CAN	CANADA	CAN								0	036	036	03	1	4.0	16	8	16	0.842001863294079	3	White House, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	1	Mexico	MX	MX	23	-102	MX	4	Ottawa, Ontario, Canada	CA	CA08	45.4167	-75.7	-570760	20170124	http://www.chroniclejournal.com/news/national/canada-needn-t-be-enormously-worried-about-u-s-trade/article_b38f6219-7357-5e86-a794-2b88a1efc14b.html
619999596	20161225	201612	2016	2016.9726	USAMED	UNITED STATES	USA					MED			MEX	MEXICAN	MEX								0	036	036	03	1	4.0	12	6	12	0.838711684779252	3	White House, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	4	Ottawa, Ontario, Canada	CA	CA08	45.4167	-75.7	-570760	4	Ottawa, Ontario, Canada	CA	CA08	45.4167	-75.7	-570760	20170124	http://www.chroniclejournal.com/news/national/canada-needn-t-be-enormously-worried-about-u-s-trade/article_b38f6219-7357-5e86-a794-2b88a1efc14b.html
619999597	20161225	201612	2016	2016.9726	USAMED	UNITED STATES	USA					MED			MEX	MEXICAN	MEX								0	036	036	03	1	4.0	18	8	18	0.842001863294079	3	White House, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	1	Mexico	MX	MX	23	-102	MX	4	Ottawa, Ontario, Canada	CA	CA08	45.4167	-75.7	-570760	20170124	http://www.chroniclejournal.com/news/national/canada-needn-t-be-enormously-worried-about-u-s-trade/article_b38f6219-7357-5e86-a794-2b88a1efc14b.html
619999966	20170124	201701	2017	2017.0658											LAB	UNIONS						LAB			1	040	040	04	1	1.0	2	2	2	1.87815656565656	0							1	Mexico	MX	MX	23	-102	MX	2	Indiana, United States	US	USIN	39.8647	-86.2604	IN	20170124	http://www.labour-reporter.com/article/32312-trump-meets-with-leaders-of-building-sheet-metal-unions/
620000019	20170124	201701	2017	2017.0658											MEX	MEXICO	MEX								1	141	141	14	3	-6.5	1182	145	1182	-5.26677990180037	0							4	Tijuana, Baja California, Mexico	MX	MX02	32.5333	-117.017	-1705741	3	San Diego, California, United States	US	USCA	32.7153	-117.157	1661377	20170124	http://www.bigstory.ap.org/article/60f92f98bf874848a7a0f819559de633/questions-and-answers-mexican-border-protests
620000020	20170124	201701	2017	2017.0658											MEX	MEXICO	MEX								1	141	141	14	3	-6.5	139	112	139	-5.273556282754	0							3	San Diego, California, United States	US	USCA	32.7153	-117.157	1661377	4	Tijuana, Baja California, Mexico	MX	MX02	32.5333	-117.017	-1705741	20170124	http://www.bigstory.ap.org/article/60f92f98bf874848a7a0f819559de633/questions-and-answers-mexican-border-protests
620000169	20170124	201701	2017	2017.0658											USA	UNITED STATES	USA								1	042	042	04	1	1.9	1	1	1	2.14285714285715	0							4	Toronto, Ontario, Canada	CA	CA08	43.6667	-79.4167	-574890	3	Hollywood, California, United States	US	USCA	34.0983	-118.327	1660757	20170124	http://www.wexfordecho.ie/2017/01/23/justin-bieber-jumps-behind-the-drums-at-hollywood-nightspot/
620000275	20170124	201701	2017	2017.0658											USA	UNITED STATES	USA								0	084	084	08	2	7.0	92	1	92	-2.34741784037559	0							1	United States	US	US	38	-97	US	4	London, London, City of, United Kingdom	UK	UKH9	51.5	-0.116667	-2601889	20170124	http://rovrocks.iheart.com/articles/rock-news-104703/17-things-you-might-not-know-15495118/
620000343	20170124	201701	2017	2017.0658											USAMED	UNITED STATES	USA					MED			0	040	040	04	1	1.0	2	1	2	-2.20183486238532	0							2	New York, United States	US	USNY	42.1497	-74.9384	NY	1	China	CH	CH	35	105	CH	20170124	http://ns50.dailyorange.com/opinions/columns/environment-columns/
